playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz,140,spotify,Spotify,2282279
37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,100,spotify,Spotify,1905763
37i9dQZF1DX4wta20PHgwo,Late Night Jazz,80,spotify,Spotify,1852668
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,350,spotify,Spotify,1775132
37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance,60,spotify,Spotify,996283
37i9dQZF1DXa1rZf8gLhyz,Jazz for Sleep,106,spotify,Spotify,858393
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,771150
37i9dQZF1DX5OepaGriAIm,Women of Jazz,100,spotify,Spotify,766142
37i9dQZF1DXbOVU4mpMJjh,Jazz Relax,50,spotify,Spotify,628269
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,151,spotify,Spotify,542280
37i9dQZF1DX55dNU0PWnO5,Jazztronica,50,spotify,Spotify,489073
37i9dQZF1DX7YCknf2jT6s,State of Jazz,48,spotify,Spotify,474541
37i9dQZF1DX661EjJOj3Tu,Latin Jazz,100,spotify,Spotify,407626
37i9dQZF1DX5D4gDh3HAsM,Christmas Jazz,50,spotify,Spotify,404897
37i9dQZF1DWTALrdBtcXjw,Jazzy Dinner,58,spotify,Spotify,332065
37i9dQZF1DWTR4ZOXTfd9K,Jazz Classics Blue Note Edition,87,spotify,Spotify,315806
37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz,50,spotify,Spotify,267175
37i9dQZF1DX3SiCzCxMDOH,Jazz for Study,136,spotify,Spotify,252414
37i9dQZF1DWZv6UE8BMPO0,Christmas Cocktail Jazz,58,spotify,Spotify,237803
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,54,spotify,Spotify,227982
37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz,50,spotify,Spotify,216022
37i9dQZF1DXbHcQpOiXk1D,Jazz UK,75,spotify,Spotify,192268
37i9dQZF1DWV7EzJMK2FUI,Jazz in the Background,125,spotify,Spotify,185938
37i9dQZF1DWTcEjayzrZ4x,Lazy Jazz Cat,159,spotify,Spotify,163719
37i9dQZF1DWSBRKlyNxSuy,Pure Mellow Jazz,50,spotify,Spotify,161243
45i3KQ4ENPoZNRYtReXBcU,The Jazz Hop Cafe,102,thejazzhopcafe,The Jazz Hop Café,153436
37i9dQZF1DWYxwmBaMqxsl,Rainy Day Jazz,83,spotify,Spotify,136292
37i9dQZF1DWU6MDxlH7Sr1,Cocktail Jazz,100,spotify,Spotify,124673
37i9dQZF1DWU5TxeYcalut,Jazz Brasileiro,90,spotify,Spotify,123193
148My4xA7WoEaNDmnl2A8Z,Smooth Jazz - Instrumental,1245,pmartika,Pekka Martikainen,120652
37i9dQZF1DWXSyfX6gqDNp,Evening Jazz,82,spotify,Spotify,113373
37i9dQZF1DX7UE7qrnkvsf,Jazz for Autumn,105,spotify,Spotify,107917
37i9dQZF1DWXHghfFFOaS6,Acid Jazz,90,spotify,Spotify,104795
37i9dQZF1DWZrhFFq3bnGV,Jazz Anak Negeri,101,spotify,Spotify,89426
37i9dQZF1DWTKxc7ZObqeH,Summer Jazz,130,spotify,Spotify,84668
37i9dQZF1DX5YTAi6JhwZm,Happy Jazz!,51,spotify,Spotify,72006
37i9dQZF1DX85XJl1mZAlp,Jazz X-Press,75,spotify,Spotify,69228
37i9dQZF1DWU0r6G8OGirN,Cozy Christmas Jazz,46,spotify,Spotify,68064
37i9dQZF1DXdziGPHNE40t,Jazzy Morning,80,spotify,Spotify,67674
37i9dQZF1DX1S1NduGwpsa,Jazz Club,50,spotify,Spotify,66892
5VItICXtFUzgoAmqy7QRFL,Jazz Piano,78,1210415129,Sam Suechting,66333
37i9dQZF1DWUb0uBnlJuTi,Jazz-Funk,55,spotify,Spotify,65246
2UPjWBRjJqMQY3LRV2aDTS,Starbucks Jazz,279,starbucks,Starbucks,56800
37i9dQZF1DX2kt7dB63bU1,Vocal Jazz,116,spotify,Spotify,54074
1i9NKaGOEQsRmR392BqMxE,"Blues, Jazz & Funk",91,1235883758,Martin Bosley,51592
37i9dQZF1DX6ZiG5Dz8cUM,Date Night Jazz,76,spotify,Spotify,49576
37i9dQZF1DX05Q6G4VDGLq,Jazz Tranquilo,144,spotify,Spotify,46656
37i9dQZF1DWTsUzn4pp2rW,Jazz Pop,150,spotify,Spotify,45637
37i9dQZF1DX1U93rnCNfyR,Jazz para Dormir,55,spotify,Spotify,44168
76ovukNjKdZ2UAeBECW6hg,NEW ORLEANS JAZZ,147,cap_problema,cap_problema,44084
5jtIpYaaFTza3O9ZnaVrLa,JazzHop,389,nsqx6avzxhybkmfumqb1juwmn,Fantastic Music,42334
37i9dQZF1DX6kQOEoHSaYy,Hyggelig Jazz,112,spotify,Spotify,42275
6FJQEBg5EkaTitPWcSbBI7,French Jazz Café,78,hastings.riley,hastings.riley,39961
6JZcwNB8yQwRfYeqQSIrNP,Jazz covers popular songs,117,1178359561,Tjörvi Hrafnkelsson,37134
06TSMDjFOBBwP3uVOTWJhS,slow jazz,79,joelkrigstrom,Joel Krigström,36376
4xKFUXoma8EepzgxKguJUi,JAZZ/BLUES,290,124717907,Katherine Forrest,36175
37i9dQZF1DWZy48MuOV69W,Fireside Christmas Jazz,46,spotify,Spotify,34658
37i9dQZF1DX72wBcERxgla,Jazz for Reading,85,spotify,Spotify,33256
2hP7Y6efagXEHD050Ulssh,Christmas lofi/jazz,199,12172736490,Rosanna Le,28481
1Rj92hyXm3WjpOJI8XgYtF,Paris Cafe Jazz,421,gym377,gym377,26905
1YJe9dmtfOWC2lKbIdJUWm,Instrumental Jazz,363,1133659742,Valdemar Bille-Lauridsen,25173
3hFCljxzIPeUZLQmeSwjeI,Jazz Christmas,54,sozoofficial,SOZO Playlists ,22239
37i9dQZF1DWW2c0C8Vb2IR,All New Jazz,60,spotify,Spotify,17573
37i9dQZF1DWTtzPKJEaTC4,Best Jazz Songs of 2020,57,spotify,Spotify,16905
3ZZBSpcUJ4Gi2uzHjDDpC3,Classic Jazz,222,1242413602,Peter H. Finkel,16885
37i9dQZF1DWSSSls9eK29h,Smooth Jazz Classics,60,spotify,Spotify,16830
5OhXxa4OZwYrFm6RZQeUq7,Jazz & Chill Out,127,villazon-mx,villazon-mx,15489
3lNSPiQHMfwPnJgNNyZavP,Dinner Jazz,62,vervemusicgroup,Verve Jazz,14753
1w34JrNa6VEFkKc3cJsn9c,"Soul, Jazz & Blues  ",55,legrospolo,Paul Paul,14590
37i9dQZF1DX010dXHHQF5e,Duerme con Jazz,90,spotify,Spotify,14120
4wAG4IGtyo4cdD80zKKjoB,Coffee jazz,45,sugarbelletruck,sugarbelletruck,13519
37i9dQZF1DX55mNLGdHona,Jazz in Cucina,90,spotify,Spotify,12109
38CeCKRz1m2gjRuGLU4UNb,Chill Jazz,88,89oqloy6tq7yyf3k2t781c34n,JazzFy,12006
37i9dQZF1DX41cLva7hoYQ,Workday Jazz,89,spotify,Spotify,11379
6y6NN5sdrPMgnHQjFXHcBm,Jazz Lounge Bar Playlist,368,jazz_playlist_guy,jazz_playlist_guy,10004
