playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWYmmr74INQlb,I Love My '00s R&B,40,spotify,Spotify,3343023
37i9dQZF1DX6VDO8a6cQME,I Love My '90s R&B,45,spotify,Spotify,2486483
37i9dQZF1DX2UgsUIg75Vg,Chilled R&B,50,spotify,Spotify,2070234
37i9dQZF1DWSfMe9z89s9B,Alternative R&B,100,spotify,Spotify,957270
37i9dQZF1DXbirtHQBuwCo,TrenChill K-R&B,70,spotify,Spotify,535401
37i9dQZF1DX1wNY9tfWQsS,Women of R&B,70,spotify,Spotify,361708
37i9dQZF1DX2WkIBRaChxW,R&B Right Now,55,spotify,Spotify,331776
36scvoM0cRA50MCZGhv3wo,R&B Party Classics,134,sonymusicentertainment,Filtr Sweden,314057
37i9dQZF1DXch2nNxu927l,Suprême R&B,50,spotify,Spotify,275771
37i9dQZF1DWXbttAJcbphz,I Love My '10s R&B,50,spotify,Spotify,234940
37i9dQZF1DX7J2y2eWxEnR,R&B Connect,60,spotify,Spotify,169316
37i9dQZF1DX6EQe4DjJNfI,R&B Brasil,80,spotify,Spotify,124882
37i9dQZF1DX7FY5ma9162x,R&B Favourites,100,spotify,Spotify,117602
37i9dQZF1DWWWvWJNPeyJE,Sexy R&B,55,spotify,Spotify,112794
6X0dR2HGRp4cIkgqdNvGSP,R&B VIBES,32,xznbyii4eo2o8yitdbexd4yv0,VIBE Lifestyle,98132
37i9dQZF1DX942d1NzGgzk,R&B UK,60,spotify,Spotify,96175
37i9dQZF1DX6GYkg76TRV8,R&B Feels,60,spotify,Spotify,94230
0FxQnbQyrulg3PKzjjYhnF,Old School R&B | 1990-2010,487,1295843890,1295843890,85525
37i9dQZF1DX4CB6zI8FWXS,Groovin' R&B,60,spotify,Spotify,64723
37i9dQZF1DX04mASjTsvf0,R&B Classics,100,spotify,Spotify,64440
6k8WK2AGWnwD37I9kh2zvq,90s R&B,218,stephaniegeorgopulos,Stephanie Hope Georgopulos,62459
37i9dQZF1DX2LoIIQLAhdb,R&Bae,40,spotify,Spotify,54186
37i9dQZF1DXdqxfWN3raU3,R&B Latino,101,spotify,Spotify,42282
37i9dQZF1DXa56nCfFVHm7,R&B Workout,55,spotify,Spotify,34098
37i9dQZF1DWXBQyF1RJj8Y,R&B du kender,75,spotify,Spotify,33019
1Os7m597ihMJ4xTohCkZIz,R&B Hits 2021,151,savz8vts72hqdy7von3mqc29g,Esydia,32610
4jCtgTbM8IfhB551206q6P,2000 R&B Hits,219,12155088627,12155088627,31878
37i9dQZF1DX3ORvAIr1RbU,Hip Hop + R&B FM,100,spotify,Spotify,31685
1kMyrcNKPws587cSAOjyDP,90s R&B Hits (Top 100),129,2us2lww0gyq6nl2bfzxdzl2i4,Nostalgic Vibes,30759
1Te7qxGGp1zlWng9qWCx4J,R&B 2000's mix,281,saloni44,saloni44,27028
37i9dQZF1DX5Rc4HJf52tj,New Hip-Hop and R&B,80,spotify,Spotify,27013
37i9dQZF1DXdSavJjIP6Fb,Bollywood R&B,39,spotify,Spotify,25239
2rfXtgFM3UipfMHWndRmZ2,Korean R&B,241,223an5eyftvbjv3vbyqoi5sxq,Thien Khong,20698
37i9dQZF1DX79tXjMZ42D6,R&B Slow Jams,102,spotify,Spotify,15843
1UQxILdfMFpi4kWrqAw1ux,R&B 2000s Greatest hits,303,spotifylorentsen,Lars-Erik Lorentsen,14992
2RSibZjck56m22fzsZPDQc,R&B & Hip Hop 2000-2010,469,lemavi27,@2LMV7,14298
6BRBN1HAhDvFx1gaMmkOpB,NEW R&B 2021 | Alternative R&B | R&B RAP,51,gqvll232yf0uc2oh9foglgxec,We The Best Playlists,14008
4BnpLG8fcq10UO4M179uLF,R&b  Throwbacks‼️🔥,330,fkn.jairo,fkn.jairo,13198
0py3Q152R5JfeTFCnfBpiD,'90 R&B,143,21uza3z4goj7nig5vl47gqn2y,Amelia Oktiana,12684
37i9dQZF1DX6rJpshxuzGT,Top Hip-Hop/R&B 2020 NL,100,spotify,Spotify,11642
1fb2kUcysJ6BvfFYbUPJ3h,R&B love songs 1990-2020,243,jr8cdrlna5kjb6s7v36gna8sx,Munoz.luis,10985
04KeNRqzx7dSjtWAyYgiVp,oldies / R&B VIBES 🤙🏽🤙🏽,242,audreyxsue,Alan Cruz,10717
4ZVlrmh3k3Q9N1bW0m6Kkz,"2000s R&B, Hiphop and Pop Hits",148,empty022,Leo Lobaton,9436
52rM6t6MUzA5lzPy0ljwtY,R&B Grind: Jazmine Sullivan Takeover,251,playstation_music,PlayStation™️ Music,4883
4oM8qRVNTSsHNsPG3zXhGF,2000s R&B & Hip-Hop Playlist ,146,x1f5g70bncnis2y38mqcz4dcg,D.Malik,4752
37i9dQZF1DX5XknIClxebK,Best R&B Songs of 2020 Canada,100,spotify,Spotify,4116
4jQ6XB3f0NBtak8FxjiJI3,R&B Playlist 2021 - Today’s TOP R&B Hits (New RnB Songs Playlist),41,redmusiccompany,redmusiccompany,3916
7gVRP4rL1Yox8ID09ROvjN,"⭐""R&B""",20,vn99t75a9wcj231czkzl1ozrn,청각예술,3776
0DHxjwbLM78QOi7oWGZDNe,R&B HITS ,73,a2u4b8fhx8me9lix6qldxz5ns,Artekal,3720
4DOHnNFzpeE0dBVSpNFBCQ,R&B/Slow Jams 90's/00's,252,bingwings,bingwings,3201
3SsPWyQnAh1ccWEXZPYaCY,R&B 2021 - Best R&B Songs Playlist (RNB Music 2021),61,redmusiccompany,redmusiccompany,3018
7sFgh2Ebte5ZxF8QiIlZ7J,90s R&B Mixtape,114,iloveinkcartridges,Jojo Dolphin,3005
37i9dQZF1DX2hNQN2Fv6Cy,R&B Classics Party,234,spotify,Spotify,2668
37i9dQZF1DWZuIX5Q3yUjF,anima R&B,52,spotify,Spotify,1944
37i9dQZF1DWTbCTQUrf6sj,R&B Party,147,spotify,Spotify,1447
6VzQB7ZZQFwIss2xaL7gC5,r&b/soul/acosutic songs from international Filipino artists,31,z9jnead90ofw0ty4iw8111dpr,binibining yena,673
2pHasUOcjBYJXuQqcBCsvL,R&B RUNNING TRACKS,122,nb0kigg7evki8x2nxlhcaizsl,Melbourne Runners,80
7ch6Xa2o4W2iu8EaS3gChU,R&B 2000,61,21ul77rdac4g4elnu6fc3urfy,Tiffany,54
