playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
5WNUX6jisX0NRlVDTm6RDd,HipHop 2021,152,sonymusicentertainment,Filtr Sweden,425865
2YLYJT19TUBMD4eDQEnivw,Workout Motivation / HipHop / Rap 2021,145,uptown_as,uptown_as,263146
18PtAXbx353eX5M7ROSzwE,HipHops Finest,10,npz5x68u99c5yj2vxywzs0o1g,HipHops Finest,207408
5772HGqmp2E99GQo5tfmcJ, 90's Rap / HipHop,221,19jconnell79,19jconnell79,191979
5QjgJ20xSbkyfDY2iPERtz,Japanese Lofi HipHop,122,thebootlegboy,thebootlegboy,152790
4QZ4F2Yxc6RLx7ybP0Ozn4,Hiphop NL,62,digsternl,Digster Nederland,121754
4n1MmxkjlOGAVKkDIFxc7f,HipHop Weekly,14,seh44c9tfl325k9zfu6f7rme5,HipHop Weekly,101157
6KYkiwUEsmEEkBShfe9VGB,HIPHOP FIGURES,50,69b07p6xur8wd53kzm2cj6bze,HolaMusic,75452
3oYfbpE01BNMgMvmWdKFxF,90s RNB/HIPHOP,335,1118860764,Clarisse Van den Steen,58512
5TZkls9cEOzWDR6qCxwDot,HipHop 2021,136,theswingingturtle,The Swinging Turtle,52895
3dcaUSkC0ZgFrXzmp3sD3V,Hiphop Written,50,f7k3jlztsdhdtb48g3ljm9fx0,Happy Chill End,48334
3wVuygKfrB3ZrSganknUHo,Planet Hiphop,51,jq2sud1ucnbpfxy3ol1iipnsk,Callup,41886
2pF0BFwi7aTQUSZQnu0cSo,Hiphop Squads,53,15173sqbjt4ct8c2jdquii6i1,Chill Reggae,40132
2m1a06jWwGTKXkAC2mMtRV,HipHop 2021,102,thegoodfm,TheGoodVibe,39536
5Rgm0KlX9rzQMYnIApEOUu,Hiphop For The Culture,50,j4gv2jer275iu487s272vzdn9,Bass Culture,39419
1vIDwjZb8KYW470ihPo5Sd,Blissful Hiphop,50,2rnz5aun197wu6npsxj2as0k9,Blissful Hiphop,38583
6RU5ThcO3yRcLDcQEt87n3,HipHop Solitude,53,up4gdw49gkeaz4dr1j3fr6hyt,Funky Soul,37516
1MANhtJS3eXcQeJLjRw6FG,Hiphop Favors,53,2tlfrnd33n20c2vk2m5q8q1ue,Inspired With You,37403
5vwyfbggGoq2qj4AgW0ny0,Hiphop Rebels,53,9cca2gtjf8ravmcbuacz67nzw,Blues Rebel,36888
6L1iDgsSb0eQH1GNDdsr1Y,Hiphop Rythms,50,84uf2ehucwdrvshdeaqeh8b2v,Body Rhythms,36835
1RN6QcBfge9DAi12qGqGL2,Hiphop Heavy Tracks,50,83c8creo70fyyv61duos7huee,SickTunes,35596
36xcyunCG4tbRNdZThxsbN,Thrill Hiphop,53,zwo9uonhq02anskcwelgao2g1,Chill Rap,35590
6V8I2fViZCZWUKJw7sPLeD,Hiphop Number Ones,50,gc173aaf0mrclsom9nwuu9vwj,Allin jazz,35042
58fFSQJ8WEdpCJzACUmhqg,Hiphop Filler,50,kjorvedy5150vd7wpkve1fh0m,Colorful Hits,35018
4TLG0UMGFuXfPsUPBQHPWd,Hiphop For One,53,49di7l2idbb70fz140qqorddl,Once More Call,34726
4hBswgculKF2cbGVCeex0p,Hiphop Selects,53,68kijfy1sh3bit9jpeqalzx7h,Time for Selects,34631
7IbCA06xBYB0P6InqMV7jC,Japanese LoFi HipHop / Chillhop,86,dn126saxzj654qk9yf82ozahr,Tokyo Tapes,34240
044OTPBixvPOJTI42ScpHL,Hiphop Circuit,53,n6c6pkbabckd4n7hndcqfox0q,Lounge Friends,34125
4IBnRaZlAHrAf5l47F8mke,HipHop Connected,51,cipanwonrzhjuj2emcednb2al,Soundssavage,33315
71019EDcRamfMmOEEoTdEu,Sad & Sleepy beats 😴 (Lofi HipHop),150,thebootlegboy,thebootlegboy,32945
4plBI8FtZBDIFZkn88vin1,Amazingly Hiphop,50,xlxwpej99lso537dmdxhj9f32,Amazing Beats,32834
5OWmyxTwqPcAptWFF3YXAi,Hiphop Tomorrow Hits,50,jtao7b4binj8kc8hz90748a3o,Search for Tomorrow,31434
2LgwuztRfDRcmLOdtFlXbJ,Hiphop Discovery,50,rx4rolvmbk6numdmxv49tfiod,Discover Magic,31328
5OJs7eATLrvZ2Ea9als3lK,Study Beats I Lofi HipHop & Chill,308,nsqx6avzxhybkmfumqb1juwmn,Fantastic Music,28975
7uYVMklACiE3Hb94fe52Cm,HipHop 2021 🔥 | New Rap !,144,kor3wjfaaobanwyyg77wuqzag,TodaysGeneration,22851
37i9dQZF1DZ06evO4u84Yc,This Is Hiphop Tamizha,50,spotify,Spotify,21732
7HvSpIbLkox0iodVWt1eYT,HIPHOP/RAP HITS 2020,12,7rmsbj7rmzaui0wqariyea106,One Pulse,20181
1ZK6XxERSYKtjpazUTrkJH,90's Hiphop Classics,98,1148078967,Perquisite,19259
0C2zyPdlkbWHrwVg9gqNdU,90s Rap | 90s Hiphop | Old School Hip Hop House Party!,135,mammenag,Anish Mammen,18051
1BwUVBzO6hKst0iqmrh2RJ,HIPHOP ANOS 90 E 2000,97,22rhszi7ntbugrtwctg7gfymy,Leonardo Martins,17756
74C43e0KhAcPDtNhgCXBnn,HipHop das Antigas,136,12144835481,Hudson Santos,17243
37i9dQZF1DXbYUVKgXZtWJ,Suomi-hiphopin klassikot,89,spotify,Spotify,15640
5MtMCsXwPG1hoGXUDxoq2b,Oldschool HipHop,115,till4554,till4554,15214
5iu1sp3UBb1rjf8KNKETtJ,Star Wars Lofi HipHop,29,1243672619,David Machiavello,15081
2YhWjFEOnzd2HGBsa2a2tY,Samurai Lofi HipHop Beats,66,xhaoh,xhaoh,12382
6h2G7A5B401eA2BauiXf5I,HipHop Oldschool,161,1138988812,Spotify FV,11261
5N8pqYMxvmobsh25NQfu0B,HipHop Workout,82,djblue89,Jean-Frédérick Marcoux,10526
0C0o35fU32F6sfcmRcAbKP,90' HipHop,1217,wittenbergjohann,wittenbergjohann,9785
0mW1CVzXyrjaZxGUuKdLN5,HipHop Instrumentals | Beats | Jazz | Boom Bap | Lofi | HIP HOP,787,g25676008721,jack buckley,9571
1ng4GwTBZuyiyrbch0NE2w,hiphop 2000 🤞🏾,36,vanessalemoss,Vanessa Lemos,8854
4ZVlrmh3k3Q9N1bW0m6Kkz,"2000s R&B, Hiphop and Pop Hits",148,empty022,Leo Lobaton,8455
33I6RpefRQcRh69xEczaKT,Hiphop 2000's,257,1160742066,Leon Bouw,8070
0HdNZtdr9CgJPlIhHOX7sg,Spanish rap/hiphop💯💯🔥,356,1229961762,Linda Pereira,7741
3oHIgA81nHSvhravXVEPef,2014-2016 HipHop,231,mystritz,mystritz,7507
6daY694UtkdYtpWjm11c1H,favorite hiphop music,11,12153973,Darris Robins,6835
5BKsHjI5ujWcCxEVr1mDcy,Straight Fire HipHop,20,eseenic,eseenic,5858
4E1UqqR59lCGN9noylx8fJ,2021 CLEAN HIPHOP SONGS,177,phx602623,phx602623,5443
6MO1eEhWfJaCyCvsOxCeDt,new hiphop favorites edition,8,12153973,Darris Robins,5055
3zsAELMEZB3UTjujqqSDNW,Mind hiphop edition,6,12153973,Darris Robins,5049
5oloY8C1dH5vcDlyQ8Ody3,fire hiphop,7,12153973,Darris Robins,5038
4Japzm6tRXLeyAvenxmOEP,fire hiphop edition,8,12153973,Darris Robins,5029
6YxOyEFCVb3I7L8z8KRoHr,new hiphop vibes,10,12153973,Darris Robins,5014
5LsuUBbSaTjhQmhKYyKnOF,new fire hiphop,7,12153973,Darris Robins,4898
5w4mBmreB6eLNHIww1CI5f,favorite fire hiphop,9,12153973,Darris Robins,4891
6asUz8LrRqJPQ0WwualYbQ,new fire hiphop edition,7,12153973,Darris Robins,4716
65wyVrhg85JcgflEnHS3PE,new hiphop music,10,12153973,Darris Robins,4659
3PcNftl2BiNgoH00q0E971,90er  Rnb HipHop  MegaHits,93,ninjosubi-de,ninjosubi-de,4475
5IYybZWavhd6mELEPfLwwb,Jazzy HipHop,48,amosdunse1,amosdunse1,4447
4oJre64WQYs8l1V69ELrrJ,HipHop Workout 2020 ( Hip-Hop Workout Mix | Rap Workout Bangers | Workout Hard ),92,tunemunk,Tunemunk Records,4140
4LK17e9zqmNscb4FSkllbJ,90’s Hiphop,288,6fax4wfd7bppetuaepx2wshg5,71pac,3590
70ykChSMK0bxtvgrLFBWxe,Hiphop dance routine,143,beluochoa1,bel,2437
