playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop,825,thesoundsofspotify,The Sounds of Spotify,4840
3IdDjr6DGMU0qqsJsd38mf,Post-Teen Pop,158,maddenk14,maddenk14,396
4LxPfk1JbkeQm7ZjPDe9fz,A ♀Filter for Post-Teen Pop,100,particlefilter,Particle Detector,26
6p7T58tjzaA0OsQkGO9zdv,Post-Teen Pop,100,9d4j462hqq8px33pijbgwhcoo,Chosic,16
3wflXFsSCVpX4rsml0cqWZ,Post-teen pop,145,nachacontreras,Ignacia Contreras,5
6KJMqtyLSLuooDKFJnCiiz,post-teen pop,121,0a6n6hn9ealrsxcvqxd7rho27,cobrr✨,4
1GU6Q5k6e7eyUtwGosmDoO,POST-TEEN POP 🤟🏻,149,darmawanr_,darmawanr_,4
3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,119,druil2ca7kdlpclw4la37a1mx,Karendallasera,4
0iXeo8JpP1y8hpGQOK4bJv,Post-Teen Pop,96,icecontroller,James Minardi,3
0xiMB1M6laAUfHUiBb6ebn,post-teen pop ,421,kheylynn,kheylynn,3
7fEoeWPUJ6N365CMH4ObIm,Post-Teen Pop,35,tupiz_m,tupiz_m,3
0F8apkuk3ZTmLp5j1B41kG,Post-Teen Pop For You,54,0kgiafxtxh1ormnuwzor5z9lf,Karli Grace,1
60ukjAyIy4Yb8LnYiRPhrh,Post-teen pop,65,xvq5j59fy8l9cpmdvawhrpjuj,duyguyy19,1
74962idCjiGug4VcWVU4E8,Post-teen pop,337,r4n2xmiz40zji4rqizt81vrh5,ftymbsxex@smartbusiness.me,1
29Q5EpWy8WLCriwO1mj9wh,post-teen pop,509,11170180241,Κατερίνα Δαφνά,0
67YtTJkncDCWDiRc3fuVAQ,Post-teen pop,106,christyisthebomb.com,Christy Rooney,0
6Lc2gzMpP6rZ9GreklNAEE,post-teen pop,60,1276381854,Cassidy Carney,0
3vjzx5FTf5J1LW0QbIxXyK,post-teen pop,34,u87giys7gc08gze6zms8j337u,👩‍💻,0
0LouFnpCe1NCsaSFDBxjT8,Post-Teen Pop,108,mikeviii,Michael Villani,0
3dcZ73bbstIAGpu3o2wx64,Post-teen pop,37,31q7ajdfrmqn73gmrfjy7k6p2by4,Ксения🪐,0
0LRjb7qEVZLlT9JztjSLa3,Post-teen pop,34,3h3se7j7my9d8ejoxd4xk1q4n,Karlina,0
2hVou5ZKGRJj3FrzvqfCYX,Post-teen Pop,215,jonatandb,jonatandb,0
57w4k6ud3gaUsunT8N2aZO,"""post-teen pop""",108,u7llchrvpbyi649nb8hfrz5f5,al.exia9727,0
42hSSuum0deh5bbqdRWc6j,Post-Teen Pop,103,lyzanders6,lyzanders6,0
6MDwBnbU0MivWHgeqdEe4g,post-teen pop,35,22evc4tvhflfcbgxqcw5akxpa,Fernanda Coentro,0
3aclikiXWdd4p4eDeyKvaF,post-teen pop,118,01x8zhr7wvu9e042x6hjb9tus,Marlene,0
0H7MK03XSrdievEgCDK4OF,🛹 Post-Teen Pop 🛹,47,202280-my,Claire,0
4v8qVzr91DgzzI9bNOIX9p,Post-teen pop,499,qkerizrx6y02lum0ihxuor1yy,Donmeznildeniz,0
5lCdOpbYVpr2znoE2Mda4X,Post-Teen Pop,102,31o4rj7tac7dn6q5fctu4jryhc4q,Lainee,0
6IApXRTBIRDVVmScTb2dgG,[🧑] Post-Teen Pop,91,maxhunter2011,maxhunter2011,0
5goORYQGvY0RzXpmIjA4nk,My Post-Teen Pop2k,122,b2y8bnivtod67pbnjyj9ey1t9,Fall Equinoxx,0
