playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton,50,spotify,Spotify,10179374
37i9dQZF1DWZjqjZMudx9T,Mansión Reggaetón,50,spotify,Spotify,3324701
37i9dQZF1DXbSbnqxMTGx9,Reggae Classics,60,spotify,Spotify,2317542
37i9dQZF1DX8SfyqmSFDwe,Reggaeton Classics,100,spotify,Spotify,2082497
7xWuNevFBmwnFEg6wzdCc7,Reggaeton 2021 ☀️,290,12127298960,Diego Fernando Bravo,1306097
37i9dQZF1DWVYs6zNzJ0ci,Reggae en Español,100,spotify,Spotify,1153503
37i9dQZF1DWTMlvEhEJDRB,Nação Reggae,70,spotify,Spotify,478511
37i9dQZF1DXbwoaqxaoAVr,Sunshine Reggae,65,spotify,Spotify,455096
37i9dQZF1DWWU6Rfto8Ppm,Reggaetón Viejito,144,spotify,Spotify,438285
37i9dQZF1DX3mvx0imueXo,Island Reggae,50,spotify,Spotify,349256
37i9dQZF1DWYtKpmml7moA,Chilled Reggae,49,spotify,Spotify,275446
03sDEv7FN58Mb9CJOs1Tgn,Reggaeton 2021 😍 🔥,104,12168854749,Alex Garcia,271376
37i9dQZF1DWSkkUxEhrBdF,Reggae Infusions,50,spotify,Spotify,268971
4B5rhAH80qM2Sj3wCyr0jC,REGAETON 2021 🍑 REGGAETON 2021 HITS,200,partyfiesta!,partyfiesta!,248858
08mTMG7Xc6kBj4r1qdInNO,Reggaeton Viejito🔥,258,12163988544,Adriana Murrieta,212275
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,31,spotify,Spotify,200791
37i9dQZF1DX8TCaiq7EoZA,Reggae Acústico,30,spotify,Spotify,162889
4vZCzdgMj0tH8OA3bkGkVE,REGGEATON 2021 : 'El Mejor Reggaeton 2021',100,mejoresplaylistsspotify,Filtr Éxitos,156715
37i9dQZF1DXco4ODkIraMD,Reggaetón Rewind,100,spotify,Spotify,153254
5Whb5YPTBJeHRoD69BU0ds,Vintage Reggae Café 🌱,205,pmb-music,PMB Music,106767
37i9dQZF1DX2oc5aN4UDfD,Ultimate Reggae,50,spotify,Spotify,96943
5iPuvj02slqof2cGoJZczO,Old School Reggaeton ,186,sayragrimaldo,sayragrimaldo,89851
6xVwcKe3bjKcIriAKxF07B,Reggaeton y Perreo,220,12150809594,Digster Music,88820
0s8tfHVdQa8duFMev3ZlgD,Dub Reggae,134,constantinex,Constantinos Zervos,80852
2WK90sJkUGOd6O0NmckQYg,Éxitos Reggaetón Viejito 🔥,222,1276818072,Israel Torres,77925
37i9dQZF1DXa8n42306eJB,Reggae Party,52,spotify,Spotify,69602
1Tv0okbBQZJbdPbpkcObGA,Reggaetón viejos éxitos,214,chemass10,Jose Cabrera,68501
36Yd5mQUk4Hit1QT3p8Ufk,Reggaeton Old School,176,embje4sc4l8c21tmeoxdou5i9,MG,68080
37i9dQZF1DX963rxJxOMIA,Reggaetón Colombia,50,spotify,Spotify,68005
4GCVjCmC4nSPoMeaAQAdgM,Reggaetón. ,210,22eqwcms747lshetd4btdi4bq,Lina Tejeiro,64846
42E6uFhL4e2nXmbmeigwXb,REGGAETON ANTIGUO 🔥,185,aleexsanchezm,aleexsanchezm,61658
37i9dQZF1DX4iPyiZG8RHQ,Reggae Nation,60,spotify,Spotify,61611
37i9dQZF1DX2HAzsgPV6Kx,Lo Mejor de Mansión Reggaetón 2020,50,spotify,Spotify,57701
1SihNxlDTAzFUghwXkadOv,Reggae Brasil ❤��,120,12152508590,Diego Oliveira,54323
37i9dQZF1DX0oAhAessKvf,Reggaeton: El Inicio,37,spotify,Spotify,51127
1Oe3ujVVzhMIEz59QMBnSB,"I Love Reggaeton, Trap",165,0sm3pmaaaukrqqijhusbkjo2o,Radio Exclusive,47043
5b9AV5zwI4VDqBagX7Vpex,Reggae Nacional,213,wtrolly,Willian Trolly,43998
37i9dQZF1DXd8p9XRfIfUn,Academia Reggaetón,60,spotify,Spotify,43260
37i9dQZF1DX4Ux6OGNoFON,Volando con Reggae,60,spotify,Spotify,40708
5oTurs9dSXVxKt26qV13Lv,Reggaeton and Play: Bad Bunny Takeover,276,playstation_music,PlayStation™️ Music,37659
4Ox1cEOCzfJVrDmwjy0kVK,Reggae Covers Hits,92,11149656956,Antonin Fons-Llatas,37593
37i9dQZF1DX20S3TU4dlyR,Reggae Al Sur,89,spotify,Spotify,37242
3gWDXv1irqJ6ZBN5xnVYE6,REGGAETON HITS ,286,1284335146,Mario Estrada Chavez,31800
1wllg22TBwoPFcBDVRWu7V,Reggaeton Latino,17,0o4ckdvu0893dx7n2vyox5ock,EzMusic,31276
37i9dQZF1DWWgsG1xGbDd1,Vintage Vibes: Sunny Reggae,60,spotify,Spotify,30487
659ULOqOfJqmX7bXYsIVAr,REGGETON 2021 Hits 🔥 'Best Reggaeton 2021',175,partyfiesta!,partyfiesta!,28761
0H8A3pt8nNtMQSqq14JiEJ,Reggae Cafe,57,22tx42g4evcxvdvr4ftgrwk5y,Vitor Nx,28532
6SPaXnfiPTTffWP93WDvGr,Reggaeton APA 🔥,637,mpalacios0401,reggaetonapa,25577
2ac00RfnLIVfFe5cLcDRjB,Reggaeton viejito 🔥,33,corcccstep,Omar RamCast,21500
24PzmeecIoHu8deaWzlNTa,"Reggae en Español, Reggae es Amor <3",120,12130259920,Alex Moreno,21207
37i9dQZF1DX5hIsIIk6w1F,Reggaeton Chileno,100,spotify,Spotify,20979
5LTV57azwaid7dXfz5fzJu,REGGAETON ANTIGUO 100%,214,07gd3g713hp27938jay553r3o,Ig: martaacano_,20882
1WZjyHrhkryyJszMUGNjpV,Old Reggaeton Hits,105,juan_jose97,Juan José Díaz Santana,19880
3Qc42fFhkYU08GWzWTXV4B,Reggaeton 2017,85,lassanamusic,lassanamusic,18619
4PPzZNjqcxwn28hJ3TUyxA,reggae tagalog🍻,37,vargasmicko,Micko Vargas,17004
6iLzMRkQmZIzIHfI7t7jQD,Reggaeton Antiguo 💣,115,seba16ignacio,Sebastian Ignacio,15078
3w74oguynJ5C2xBrQwZoha,Reggaeton 2016/2017/2018,320,ignaciomma,ignaciomma,14261
1f8ta2bdodplVVNHMSVG7M,Reggaeton 2021 🔥,119,alejandrosobarzobernal,Alejandro Sobarzo,12336
0vEy97qndIR0a0suEEvJSE,Reggae Internacional as melhores,39,nandersonbruno,nandersonbruno,12004
2JuzTWBCTQW37Kf2eg5ETZ,Chocolate Factory & OPM reggae,27,21ozn4dbksdqeepd4ennm4xoi,Mark Anthony Toremotcha Alvarez,10572
3CxvQvfoHsM9wVAdSHydv2,Reggae/Dub,1028,andrestroyer69,Andrès Vangheluwe,10076
