artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,30585244,"['dance pop', 'pop']",95
4IWBUUAFIplrNtaOHcJPRM,James Arthur,8035001,"['pop', 'post-teen pop', 'talent show', 'uk pop']",87
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,17865117,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",86
04gDigrS5kc9YWfZHwBETP,Maroon 5,30759087,"['pop', 'pop rock']",92
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,6760239,"['dance pop', 'pop', 'post-teen pop']",79
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,8857346,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",82
540vIaP2JwjQb9dm3aArA4,DJ Snake,7345569,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",84
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,32277232,"['canadian contemporary r&b', 'canadian pop', 'pop']",97
46GXASE9LHzyssNqKOInUu,Dawin,211652,['nyc pop'],57
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6198120,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']",83
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3234945,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance']",82
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,3521718,"['ohio hip hop', 'pop rap']",90
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,15753703,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",85
7gAppWoH7pcYmphCVTXkzs,The Vamps,4441561,"['boy band', 'dance pop', 'pop', 'post-teen pop']",77
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,14671931,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",84
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,62776352,"['dance pop', 'pop', 'post-teen pop']",97
02A3cEvlLLCbIMVDrK2GHV,Starley,135711,"['aussietronica', 'pop dance', 'tropical house']",64
2oX42qP5ineK3hrhBECLmj,Andy Grammer,939910,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",78
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,32822853,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",90
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4336255,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",82
0jKQrxK2zHqxyOAyIMrUQt,SUD,327919,"['opm', 'pinoy rock']",57
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,13065454,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",84
