playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWXcA2XXbXQ3d,This Is Britney Spears,46,spotify,Spotify,610994
6jkzh0DCmoaFrJY9TJ21GO,Pop Nostalgia | Pop Internacional Antigo | Free Britney Spears,135,filtr.br,Filtr Brasil	,216922
6gDqhVd2qySRUQVWnyJRkh,Britney Spears: Complete Collection,149,britneyspears,Britney Spears,144547
04FPqim8lD93fNrri48hRx,Anos 2000 - Internacional | Backstreet Boys | Britney Spears | Christina Aguilera,120,filtr.br,Filtr Brasil	,40701
2Y4jnQ0IKGJqIsnlXw8CU2,Divas Pop 💋 Free Britney Spears,134,filtr.br,Filtr Brasil	,16470
0i5xx3Knyc1cslDW2het3s,Britney Spears Playlist,150,zharr1999,zharr1999,12117
75LJ2UhtpEhNRal6JQRXss,Britney Spears: Workout Mix,19,britneyspears,Britney Spears,10844
2NAScebHTMVLmVVXKbivOx,Britney Spears: Remixes,20,britneyspears,Britney Spears,5987
0aIOSkcJQwebw9CeSafODZ,Best of Britney Spears,13,1279733633,Luis Salinas,5391
0FY6u1MLCSIdp91FkrV2ye,Britney Spears: My Only Wish (This Year) - Holiday Mix,22,britneyspears,Britney Spears,4307
6NYNOBKaNq5pC0BsZJKZ7e,oh to be britney spears in 2009,316,ashleyxlillian,Ashley Haines,4199
5vASDSVoYuVJFf70sWxXhv,Britney Spears Exitos,48,maitefernie,Maite Mejía Caballero,2857
2vl5PidcKUM4sdsGitowsB,Criminal – Britney Spears,13,11160915717,Line Kristsensen,2693
7gYLY1P6u1D0OPgVTUiXFn,"2000 Hits | Nostalgia - Antigas | Beyoncé, Akon, Rihanna, Britney Spears, Amy Winehouse, Ne-Yo",132,sthefmelo,A Dona da Playlist,2397
3iumoo3ur5ERMFD6JncAEJ,Glee - Britney Spears Songs,13,kmbassett81,kmbassett81,2333
2nwHjD2RNGb0vw7nB9AmLO,Best of: Britney Spears,40,alicemariaj2000,alicemariaj2000,2241
6LjHSAaCVcjVBRxdDALPRD,(You Drive Me) Crazy – Britney Spears,86,duckfatbackfries,duckfatbackfries,1690
0EoQdwbUPHoTZ2anHNbwkU,Britney Spears Workout Playlist,20,km5zzovsdmb5wps2a0f5tlykv,Lizzy,1419
3HDymKMKIiefq6Jbn4BgGF,Lucky – Britney Spears,131,mahimahi__,mahimahi__,1348
1vLSZl7Bf8u57bKNUJEjJK,"Backstreet Boys, Britney Spears, *NSYNC, ... All Bangers",104,w9qxkshktrkq3e6rt7dp9wchd,phil mc,1219
0Je9VrQ1tueF397vqzzLKn,Britney Spears Live from Las Vegas,16,22g3d6e3eecl53dqavjwzfcay,Raissa Nasc,1148
2DrLw3BvJeEVHWEnDfsJqj,"will.i.am, Britney Spears — Scream & Shout",109,sarah.yaiche22,sarah.yaiche22,1087
5ssjdYVx5Ch0DoNEtJ8HxA,Britney Spears – Every Single Track,218,bx7w42a55so3tajslcf6bquja,TartaloSpotify,1027
1yaifghbu2BMdW47HwHNYn,Britney Spears Greatest Hits My Perogative,17,fenya97,fenya97,1007
0PPyCTELslPrCUuTDDUEvf,"Pop Rihanna, Britney Spears — S&M Remix",238,yisselle19802,yisselle19802,961
7KEni9NMcVjV0YRUjKHNax,Gimme More – Britney Spears,151,tahlia.hargreaves,Tahlia Hargreaves,959
2hajhmkzmsrQ4bBagVR3jv,If You Seek Amy – Britney Spears,2,ljjx1t79no81lu0ygkm053slz,Daniel L1,824
3uYBk26hxKpUGxmPh9IgHc,Britney Spears - Antigas,29,22gb6vwlmmrjy436vo2rea7ha,Mel Cavalcante,822
5jfKQCzq8OsnNlZnUC6Jvo,Britney Spears - Girl In The Mirror : The Ballads,22,1166960307,Fabio Kermit De Paola,781
22X5ssP9taPIH2ONlveYW3,Britney Spears Discography (1999-2016),144,cmarisilverde,cmarisilverde,746
4eYxDmTXPVPdFTHh2pzhtB,Perfume – Britney Spears,127,22xoyaw3snhdngsaqejv7fwji,Gabriela Alavez,732
6KButJC4k690xNNwmHv9Xk,Britney Spears 123,49,11124379391,Yinglong Casper,640
2kEeYERKaK9v9DaFk5lsiM,Britney Spears Covers,227,1215752885,Jason Jeansonne,555
5XXQS965bpza6UOHZBqpif,Britney Spears - All songs,152,ronancosta,RonanCosta,534
5ERTNI6LXXve22vBJf7Na1,Sometimes – Britney Spears,136,th6nedyp6yzo6yder1w9hc7w6,Liezl,473
1bg2WVKaDfoiOZnzkFF2Kz,Cristina Aguilera y Britney Spears,26,1298677037,Jesury de Sánchez,456
7AnT8rINsTFqm7OHn2jyAP,"Lady Gaga, Madonna, Britney Spears, Christina Aguilera , Rihanna, Beyoncé, Katy Perry,  Cher",329,84i2vqglkv5raghmwe71sljul,MichealVS,454
5CzunNcgxs62UE3jImAvnl,Circus – Britney Spears,149,ramiixox,ramiixox,430
