track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,26dSoYclwsYLMAKD3tpOr4,Britney Spears,3WNxdumkSMGMJRhEgK80qx,211066,1999-01-12,79,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,3MjUtNVVq3C8Fn0MP3zhXa,3MjUtNVVq3C8Fn0MP3zhXa
6I9VzXrHxO9rA9A5euc8Ak,Toxic,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0z7pVBGOD7HCIB7S8eLkLI,198800,2003-11-13,82,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,6I9VzXrHxO9rA9A5euc8Ak
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,26dSoYclwsYLMAKD3tpOr4,Britney Spears,5PmgtkodFl2Om3hMXONDll,211160,2000-05-16,79,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,6naxalmIoLFWR0siv8dnQQ,6naxalmIoLFWR0siv8dnQQ
4fixebDZAVToLbUCuEloa2,Womanizer,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2tve5DGwub1TtbX1khPX5j,224400,2008-12-02,78,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,0.235,139.0,4fixebDZAVToLbUCuEloa2,4fixebDZAVToLbUCuEloa2
6ic8OlLUNEATToEFU3xmaH,Gimme More,26dSoYclwsYLMAKD3tpOr4,Britney Spears,1ePkYcH5ZQCb1b4tQeiEDj,251240,2007-10-25,83,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,6ic8OlLUNEATToEFU3xmaH,6ic8OlLUNEATToEFU3xmaH
5QhBKPqsnX1uY9fZNaAtZg,Stronger,26dSoYclwsYLMAKD3tpOr4,Britney Spears,5PmgtkodFl2Om3hMXONDll,203000,2000-05-16,67,0.707,0.923,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.842,108.049,5QhBKPqsnX1uY9fZNaAtZg,5QhBKPqsnX1uY9fZNaAtZg
7jk7gqyEonmVVYahZN5zhW,Circus,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2tve5DGwub1TtbX1khPX5j,192360,2008-12-02,77,0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,7jk7gqyEonmVVYahZN5zhW,7jk7gqyEonmVVYahZN5zhW
6ldwfK0yWgTAlmIfuQkTYN,I'm a Slave 4 U,26dSoYclwsYLMAKD3tpOr4,Britney Spears,5ax3GTsfX5uCUaNgnJsSG5,203600,2001-10-31,71,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,6ldwfK0yWgTAlmIfuQkTYN,6ldwfK0yWgTAlmIfuQkTYN
2EvwLVrnYbCZEG6Kx5DCRy,Piece of Me,26dSoYclwsYLMAKD3tpOr4,Britney Spears,1ePkYcH5ZQCb1b4tQeiEDj,212106,2007-10-25,67,0.769,0.638,11,-5.054,1,0.216,0.0902,0.0,0.0857,0.782,115.007,2EvwLVrnYbCZEG6Kx5DCRy,2EvwLVrnYbCZEG6Kx5DCRy
6MPn82FDfOB2frXG2T4lR3,(You Drive Me) Crazy - The Stop Remix!,26dSoYclwsYLMAKD3tpOr4,Britney Spears,3caKTh2tJMowPiMz0cguLI,196666,2004-11-08,58,0.684,0.963,8,-2.397,1,0.0459,0.092,6.27e-05,0.352,0.781,101.078,6MPn82FDfOB2frXG2T4lR3,6MPn82FDfOB2frXG2T4lR3
