playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits,150,spotify,Spotify,196168
6dtY8MCZ4ExwDvsfs5EARz,Dance Pop Hits 2021 🕺💃,61,topsify,Topsify,86201
4SdfG4cPG3skmTiQLozZGh,Dance Pop Tunes ,105,sonymusicnl,Filtr Nederland,64588
6RAGRcbf29KQhJpP3eD8cu,Best Music For Gaming 2021 🎮 Future Bass & Dance Pop Hits ,98,magicmusicsquad,Magic Records,54152
37i9dQZF1DWWOGXILUAh53,Fresh Dance Pop,99,spotify,Spotify,50608
37i9dQZF1DXahYFr91pFvG,Dance Pop: Japan,60,spotify,Spotify,42206
37i9dQZF1DX6pH08wMhkaI,Dance Pop Hits,100,spotify,Spotify,34797
6MCEBH2C7xz8YAK1Z3o1kO,Dance Pop Hits & Chill Gaming,75,qx3ulry0s1bfbjjyzurkbzf68,SIZELAND,32605
69N5GrdsCrd9l7iqpcoLc7,Workout 2021 🔥 Exercise Music 🔥 Best Dance Music 🔥 Best Dance Pop 🔥 High Energy 🔥 Cardio 🔥,140,kpmvso2hddt008tdym03gycwi,HMG Workout,23361
4pgOnmTM39JfS4kGBhd2RG,Dance Pop Viral,30,a4awhs9pnhakydc1bop7700ml,Music Hits Italy,20810
1TZSikRQOg9a8rckQeRerD,Dance Pop 2021!,163,12149420357,12149420357,6749
2bl6rVKYoC4igzpzUKIuYo,Dance Pop Hits 2021 🔥,84,1nv6u01jz04gdpyeu05zf5uyd,Oxyd Music,5380
6OujgxtHlXcOw9EjPqS3kl,DANCE POP,100,8i1jv5e3xmrasr2e2k9z5ui7u,VERZAAP,2217
0dY2wIRIDhznH7mQnevcgG,Weekend Vibes + TGIF + New Music Friday + Mint + Dance Pop + PARTY + RUN + Pop Rising+ Happy Beats,545,amabel.soewondo,Amabel Soewondo,1173
5EDm7hkrWkkLMdVLNnznqg,Belly Dance Pop,40,1248041604,Erica Azad,895
44PolImasIMW3OOyLxcnle,Dance Pop & Happy Vibes :),59,4nh7nghhubxg081qmum0vmpie,Happy Hippo,814
3W2Vj0s1XLZHh5Cz1jDGTS,Dance Pop '90,39,21ccavqrh37bmu2mode4wyzdi,Timothy Walschaerts,654
0CHOrYMj3eN7vw2Z2UvZKz,dance pop,178,mattbeebe32,mattbeebe32,590
5v689Vdwv92REJKH2M5hPe,Dance Pop '80,35,21ccavqrh37bmu2mode4wyzdi,Timothy Walschaerts,551
530mXyog41njOqtlsuwK8b,Dance Pop Party,179,129732977,Sage Viscovi,437
3jtiMnQbEtI36muhCWV5Op,Dance Pop Revival 2020 - 2021,205,evansleekx,reginogeorge,390
1974cxTZjWP14p7mx864wt,"Dance Pop Party 2021 | Best Future Bass, Dance Pop and EDM",59,95n3c958mbr8zezx8f1fpplav,Boomaholic,387
0V29O48byYZxg6ws8vHBtA,Turquía dance pop,40,ruricowladimir,Wladimir Gutiérrez Sepúlveda,242
2XSck3Esa0qsfNq7fzHEtg,DANCE POP 2021 HOT 100🔥   Gym motivation,238,fz5p99nhs59tq2pqk8eo4qpeg,EMIIXAM (Max),231
5QKzx8SUEDXPCeXWUTtyeX,Dance Pop (Clean),187,5e03jbzv5haqzik85snzan9ql,Cheyenne,155
3WFtkW9Yx3JxKrsiH6lmEg,butter x synth/dance pop,36,embethscods,trivia:flower,16
