track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,04m06KhJUuwe1Q487puIud,203064,2020-10-01,92,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,463CkQjx2Zk1yXoBuierM9,463CkQjx2Zk1yXoBuierM9
0DmAvNCAK08oCi7miSZUIY,Lasting Lover,1IueXOQyABrMOprrzwQJWN,Sigala,262JcveAzA4ngibAS3Ocm8,218358,2020-09-04,82,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983,0DmAvNCAK08oCi7miSZUIY,0DmAvNCAK08oCi7miSZUIY
1z1XegUChLLQfcbtIK8ABn,Body Back (feat. Maia Wright),2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,3VCPQRcHVxiVaePlQ6TwoF,214634,2019-10-18,69,0.686,0.83,8,-4.437,1,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,1z1XegUChLLQfcbtIK8ABn,1z1XegUChLLQfcbtIK8ABn
4FYbo4yQzu3hGkj2Ix4ucW,Funny,2qxJFvFYMEDqd7ui6kSAcq,Zedd,5Q8Uyc3KUlPhPtMQDY5SWm,221465,2020-07-16,73,0.664,0.66,5,-4.646,1,0.0243,0.512,0.0,0.26,0.355,99.946,4FYbo4yQzu3hGkj2Ix4ucW,4FYbo4yQzu3hGkj2Ix4ucW
0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,64KEffDW9EtZ1y2vBYgq8T,Marshmello,3wCtCJ8O6SlGBWYfzAlsb2,159862,2020-09-10,79,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,0zzVTGyRrWpQu8Fr28NRAv,0zzVTGyRrWpQu8Fr28NRAv
0ZXdzaT1k688dkpNeEgQiV,I Don't Know Why,5jAMCwdNHWr7JThxtMuEyy,NOTD,5LNAH17alOHq9AwIRiymTj,207667,2020-05-08,74,0.499,0.898,8,-4.181,0,0.124,0.124,7.2e-06,0.0832,0.618,120.04,0ZXdzaT1k688dkpNeEgQiV,0ZXdzaT1k688dkpNeEgQiV
1sgDyuLooyvEML4oHspNza,Lose Somebody,23fqKkggKUBHNkbKtXEls4,Kygo,7tcs1X9pzFvcLOPuhCstQJ,199549,2020-05-29,75,0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,147.988,1sgDyuLooyvEML4oHspNza,1sgDyuLooyvEML4oHspNza
3Ni9jLlq3xPoOKv1HYlQrH,you broke me first - Gryffin Remix,45dkTj5sMRSjrmBSBeiHym,Tate McRae,3DgnBGjHc8kkDvjP0xse9x,215648,2020-06-01,63,0.57,0.797,1,-5.514,0,0.0416,0.361,0.0,0.155,0.227,124.035,3Ni9jLlq3xPoOKv1HYlQrH,3Ni9jLlq3xPoOKv1HYlQrH
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,6dn6x1XOng3LOAnfTjUn77,AJ Mitchell,6Ol6C42O7AWnTkj8pHMHWv,193548,2019-10-25,68,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,2wenGTypSYHXl1sN1pNC7X,2wenGTypSYHXl1sN1pNC7X
4ZTTUAjJCd4NMZmIU7RB4c,Midnight (feat. Liam Payne),4AVFqumd2ogHFlRbKIjp1t,Alesso,4Cq0dfyCX1msQ6ZRbdT4YG,220140,2020-04-08,76,0.587,0.648,11,-6.927,0,0.0439,0.0561,0.0,0.115,0.281,144.028,4ZTTUAjJCd4NMZmIU7RB4c,4ZTTUAjJCd4NMZmIU7RB4c
24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),1HY2Jd0NmPuamShAr6KMms,Lady Gaga,4TqgXMSSTwP3RCo3MMSR6t,182200,2020-05-22,81,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,24ySl2hOPGCDcxBxFIqWBu,24ySl2hOPGCDcxBxFIqWBu
0o6NlHNV7Tet6yh9BC6BGd,if we never met - remix,73eAAfRkS2Vi4hx68oTJJE,John K,1iCPJ4fkyZ5yvIWSqA4ajE,186594,2020-02-14,69,0.927,0.573,8,-5.804,1,0.0491,0.0339,0.000179,0.1,0.767,114.994,0o6NlHNV7Tet6yh9BC6BGd,0o6NlHNV7Tet6yh9BC6BGd
7g2uEIBiSXUNkLmEUCv5nq,Cry Dancing,5jAMCwdNHWr7JThxtMuEyy,NOTD,6PLgk4A3mMtYCuYSwiQ4pl,179396,2020-07-17,63,0.664,0.884,3,-4.433,1,0.0885,0.304,0.0,0.0745,0.483,120.034,7g2uEIBiSXUNkLmEUCv5nq,7g2uEIBiSXUNkLmEUCv5nq
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),20gsENnposVs2I4rQ5kvrf,Sam Feldt,41S9bfzXTSGK4HU2mp5qXH,174444,2019-05-24,75,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,0qc4QlcCxVTGyShurEv1UU,0qc4QlcCxVTGyShurEv1UU
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),0xRXCcSX89eobfrshSVdyu,MEDUZA,15sy3XQFShOFiDpKoxByyA,167903,2020-10-30,89,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,6ft4hAq6yde8jPZY2i5zLr,6ft4hAq6yde8jPZY2i5zLr
4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,0xLM3GiU0ZSstvhmeV0hmf,238458,2019-03-27,68,0.513,0.788,0,-4.629,1,0.0364,0.00968,0.0,0.11,0.234,139.987,4Gcv5SsxnQWpmOnUI19EJk,4Gcv5SsxnQWpmOnUI19EJk
5SspaMrPfWyRCS0GpjIxa6,Good Example (with Andy Grammer),6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,2NjENS5zmbvNvABCfygUU6,149052,2020-03-27,65,0.456,0.496,1,-6.986,1,0.0743,0.427,0.0,0.134,0.45,90.552,5SspaMrPfWyRCS0GpjIxa6,5SspaMrPfWyRCS0GpjIxa6
05CwHjIk71RXVU40boRMnR,Call You Mine (feat. Bebe Rexha),69GGBxA162lTqCwzJG5jLp,The Chainsmokers,1ONuDpN0a3zhCUyKCgtuzK,217653,2019-05-31,2,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,05CwHjIk71RXVU40boRMnR,05CwHjIk71RXVU40boRMnR
5X73AYzzEE5Di0JwcQKt9N,Bigger Than,1QDrz3DMMaz3TB1cm0PGDu,Justin Jesso,0ryzyI2FzzvGCjoysiWMW0,208013,2019-11-15,69,0.421,0.669,4,-4.724,1,0.127,0.151,0.0,0.635,0.326,175.788,5X73AYzzEE5Di0JwcQKt9N,5X73AYzzEE5Di0JwcQKt9N
7jXQUrVhEpXdymfFWNDnQW,BED,6DgP9otnZw5z6daOntINxp,Joel Corry,2GgDZ0wSOWSD4916BWzbNX,178088,2021-02-26,71,0.663,0.783,6,-4.585,1,0.0393,0.0134,0.00179,0.325,0.622,123.986,7jXQUrVhEpXdymfFWNDnQW,7jXQUrVhEpXdymfFWNDnQW
1vsQb8n0icvMsFnL9663LM,Need Your Love (with Noah Kahan),2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,5CaTHgZaRvb2vCK1mVbCR1,205786,2019-10-24,65,0.581,0.76,0,-3.962,1,0.0406,0.16,0.0,0.183,0.523,104.099,1vsQb8n0icvMsFnL9663LM,1vsQb8n0icvMsFnL9663LM
24aN8j7dBw0FxxKUBlCtd6,Hold Me Close (feat. Ella Henderson),20gsENnposVs2I4rQ5kvrf,Sam Feldt,17S4c0rf1RXLZ0u4ez15E5,185750,2020-03-27,68,0.654,0.795,0,-4.419,1,0.0536,0.178,0.0,0.19,0.465,120.019,24aN8j7dBw0FxxKUBlCtd6,24aN8j7dBw0FxxKUBlCtd6
0VFQC71dmUjuW5bU5Ewdmg,Heartless (with Julia Michaels & Morgan Wallen),5fMUXHkw8R8eOP2RNVYEZX,Diplo,2Om5VEKaBd4Afht33ToQGD,172973,2020-05-29,68,0.648,0.553,11,-6.35,1,0.0409,0.212,0.0,0.0728,0.275,110.949,0VFQC71dmUjuW5bU5Ewdmg,0VFQC71dmUjuW5bU5Ewdmg
6Q3K9gVUZRMZqZKrXovbM2,I'll Wait,23fqKkggKUBHNkbKtXEls4,Kygo,5NtG3FTjuLNQPUhs60sebC,215360,2020-04-03,73,0.611,0.651,1,-6.973,1,0.0587,0.148,1.84e-05,0.105,0.357,122.983,6Q3K9gVUZRMZqZKrXovbM2,6Q3K9gVUZRMZqZKrXovbM2
4ztw0mBC6VBiLV79yRHDQW,Be Okay (with HRVY),6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,7IWsyF6IuJ4jLdRTLxVw3v,141600,2020-05-22,66,0.73,0.558,8,-6.535,1,0.0786,0.0179,0.0,0.128,0.618,100.066,4ztw0mBC6VBiLV79yRHDQW,4ztw0mBC6VBiLV79yRHDQW
