playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX4olOMiqFeqU,OPM Favorites,50,spotify,Spotify,2086027
37i9dQZF1DX7Jerj8LqApV,OPM Says Chillax,40,spotify,Spotify,1197030
37i9dQZF1DWXwcRDYKpcpF,Acoustically OPM,40,spotify,Spotify,598011
37i9dQZF1DWT4GbvSrNWS6,OPM: Hits of the '00s,40,spotify,Spotify,257718
37i9dQZF1DX53n2vsU9kOm,OPM: Hits of the '90s,36,spotify,Spotify,176802
46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,351,12141413785,Jerome Afable,160701
37i9dQZF1DWZKNkQDWII13,Men of OPM,60,spotify,Spotify,158224
37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,140,spotify,Spotify,147278
37i9dQZF1DWXjlWxUbm84A,Top OPM Artists of 2018,30,spotify,Spotify,141682
37i9dQZF1DX6i41Du3v1cr,OPM: Hits of the '80s,40,spotify,Spotify,106333
42URGw4uEXPk0IcR8bC6Fi,OPM Chill Songs 2021 ☕,91,jyhra99st5nhex8kfo4um2dh7,buntala,69745
37i9dQZF1DWSVQreDCvFMf,OPM Rising,65,spotify,Spotify,64268
5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's,167,12143979903,Nivek Z Zeuqracne,56580
61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs & Covers,91,12138211261,Allene Mei Ignacio,42101
1RatVZEeiZzC7P785mVeWS,OPM 2000s(Batang 90s),157,lezliemalagu,Lezlie Joy Macapagal,38679
0fY2Gburuvsk0iQtBc1oQC,OPM Classics,267,nry46oytz4vw2zi1s1xwj7j9y,Ryan Kenneth,30649
37i9dQZF1DX5k7rLBXjRX0,Top OPM Artists of 2019,30,spotify,Spotify,28387
4lObtefEePTCH2st4AdriF,Pinoy Band Opm hits,118,artenian_enney,Artenian Mariano Casulla,28315
2PlkKyfu8pFrNLErOSXN6e,OPM HUGOT SONG 2021,67,21wkmdi2b7l4nfjizkfyiotly,Albert DC,24793
6ssHgVFDNaWmXcvFJttFmW,Acoustic OPM,131,ren_x7,ren_x7,24608
2Ryzf9BECIj0fVZJwelmov,OPM Songs 2021 - OPM Love Songs Tagalog Playlist 2021 (New Filipino Song),40,redmusiccompany,redmusiccompany,24359
4jneV6JimNjTUqfr2XSGlV,Greatest OPM Lovesong ,298,kikopareja,kikopareja,20290
3aH7JVuR39qMBzIzkgLzeR,OPM Hits 2018 to 2022,296,r98ont7i3ip7z4dl1hllheog5,Ethan Jan Andino,20176
2jqVgkjhQz3y63W5cJMpvu,New OPM Love Songs 2021 - Tagalog Music Playlist,40,redmusiccompany,redmusiccompany,19787
2JuzTWBCTQW37Kf2eg5ETZ,Chocolate Factory & OPM reggae,27,21ozn4dbksdqeepd4ennm4xoi,Mark Anthony Toremotcha Alvarez,17062
1a0D55h97nBbMjPsHvdIqB,"TUNOG KALYE (90""S OPM BANDS)",96,zj_toshiro,zj_toshiro,15535
6VgO7TCchZrvOS6kWGdOii,Filipino Love Songs ❣️ 🇵🇭  | OPM,93,oy13j90x9sykocejpxq5l84f1,WE:CARE,14876
2SHK6wnQVOC2rjDC4vBbOU,90's OPM bands,27,12143376112,Denz Domingo,14030
1W3VYl4ZcOcOOeCly3mg0C,Tagalog' OPM Hits.....,39,22d3yzvl3ja6et2kupmaa3lra,Tolrahc Allertse,13085
14mF3i7gZxCE165ufk0JQf,Broken Hearted OPM Songs 2021 💔,66,jyhra99st5nhex8kfo4um2dh7,buntala,12510
