playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWWEJlAGA9gs0,Classical Essentials,172,spotify,Spotify,2244056
37i9dQZF1DWV0gynK7G6pD,Classical New Releases,50,spotify,Spotify,573403
37i9dQZF1DX9G9wwzwWL2k,Epic Classical,107,spotify,Spotify,469103
37i9dQZF1DWUvHZA1zLcjW,Chilled Classical,92,spotify,Spotify,413914
37i9dQZF1DX8Sz1gsYZdwj,Classical Sleep,72,spotify,Spotify,362560
37i9dQZF1DX4s3V2rTswzO,Classical Romance,97,spotify,Spotify,330994
37i9dQZF1DX0Aaer4Jzfgm,Easy Classical,66,spotify,Spotify,325877
1ZJpJahEFst7u8njXeGFyv,Relaxing Classical,55,sonymusicuk,Filtr UK,309638
37i9dQZF1DX9OZisIoJQhG,Morning Classical,48,spotify,Spotify,276447
37i9dQZF1DX0i61tT0OnnK,Space-themed Classical Music,77,spotify,Spotify,254845
37i9dQZF1DX6K3W8KBiALe,Classical Moments in Movies,72,spotify,Spotify,254049
37i9dQZF1DX7cBprxbt1Fn,Gentle Classical,67,spotify,Spotify,245424
37i9dQZF1DWUPafHP1BJw1,Pop Goes Classical,103,spotify,Spotify,241538
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,54,spotify,Spotify,227981
6sNDAFPubg3k4CuyH1fqrR,Movie Soundtracks and Cinematic music (Classical / Instrumental),780,1139683356,Tobias Schneider,191443
37i9dQZF1DX4P0ijJK5lUv,Classical Christmas,154,spotify,Spotify,175361
37i9dQZF1DXd5zUwdn6lPb,Classical Focus,100,spotify,Spotify,168623
36qQ3naFyPxCbbr7QpdADN,Classical Music for Reading,300,legacysweden,Filtr Legacy Sweden,154296
37i9dQZF1DWYkztttC1w38,Classical Reading,95,spotify,Spotify,135099
37i9dQZF1DWVFeEut75IAL,Calming Classical,95,spotify,Spotify,130529
37i9dQZF1DWSw8liJZcPOI,Not Quite Classical,80,spotify,Spotify,122510
37i9dQZF1DWXBq4mDDFnfA,Classical Guitar 50: Spotify Picks,50,spotify,Spotify,114356
5ifMsPihlkYEGCakqfqj17,Classical Piano Essentials,160,doublejmusic,Pianoramix,102972
37i9dQZF1DX2aCk0vzzaZQ,Classical Music For Metalheads,65,spotify,Spotify,102929
6wObnEPQ63a4kei1sEcMdH,Classical Music For Studying,68,klassieke_muziek,Klassieke Muziek by Maestro Music,93739
1h0CEZCm6IbFTbxThn6Xcs,Best Classical Music,78,peacefulclassics,Peaceful Classics,93620
37i9dQZF1DWYtpM7d4h5Xa,Pop Songs Based on Classical Music,100,spotify,Spotify,84193
37i9dQZF1DXbm0dp7JzNeL,Sad Classical,53,spotify,Spotify,82753
72oczUf02H4RGoaUBC87JQ,Mozart: Classical Music for Studying,48,halidon,HalidonMusic,77453
37i9dQZF1DXb2oE8NhWxT6,Classical Meets Electronica,30,spotify,Spotify,75882
3sw0t0icwozVoQP5J2Z8cX,Classical Study Music,100,peacefulclassics,Peaceful Classics,75046
37i9dQZF1DX7dzHXrANAir,Classical X,99,spotify,Spotify,74647
37i9dQZF1DWVJd52AtCSiR,Disney Classical,96,spotify,Spotify,69047
37i9dQZF1DXafCT9DHTijq,Classical Halloween,48,spotify,Spotify,65876
37i9dQZF1DWXtBjoO4Thyy,The Classical Takeover: Errollyn Wallen,30,spotify,Spotify,62440
37i9dQZF1DWWusEYOQAF3N,Classical World: Italy,50,spotify,Spotify,62289
37i9dQZF1DWWISLnAIWyCZ,Audiophile Classical,60,spotify,Spotify,56816
7Fcz7zgLRZvaJs1U8730vU,Classical Covers: NOT Your Parents’ Classical,117,myplay.com,Filtr US,56230
5rJkPO3pYXmwN2Xzg73kHi,Classical Fusion,25,he8tbof71x0pjsg8xxv7oj395,Closer Chills,44285
6LUHWxxF0SxatHuUnv6QF3,Classical Today,25,xizv4fde89wzjzhe0vu8kumkc,Cold Beauty,44196
37i9dQZF1DX5Lm1ZiObdc3,Feel Good Classical,105,spotify,Spotify,43312
37i9dQZF1DXbTR7abB7Ji7,Classical Wedding,42,spotify,Spotify,42415
37i9dQZF1DX4QrK4j7ie9B,Classical Yoga,65,spotify,Spotify,41833
37i9dQZF1DX0ynPp7KaiSY,Winter Classical,50,spotify,Spotify,39337
37i9dQZF1DWUajed02NzWR,Classical Garden,64,spotify,Spotify,37088
37i9dQZF1DX1FuwERxHNIM,Date Night Classical,39,spotify,Spotify,35319
37i9dQZF1DXdYI8UeiFx9v,Classical Running,61,spotify,Spotify,33163
1WTQcoyAvOcDprCAhZnKSv,dark academia (classical),53,316yfiopcftrjbchmlyofixod4jq,sincerelyjasy,30966
3ttT3EIioY5KlSBI3l4u5H,Classical Music for Babies,144,rogeriotutti,Rogerio Tutti,29699
2fhQEGq7vIfHYaHH61uTqQ,Classical for Studying,102,olevine21,olevine21,26307
