playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX1lVhptIYRda,Hot Country,52,spotify,Spotify,6227896
37i9dQZF1DWYnwbYQ5HnZU,Country Gold,62,spotify,Spotify,1595177
37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,50,spotify,Spotify,1386755
6nU0t33tQA2i0qTI5HiyRV,Country Hits,40,digster.fm,digster.fm,986814
37i9dQZF1DWVpjAJGB70vU,90's Country,64,spotify,Spotify,851987
37i9dQZF1DX5mB2C8gBeUM,Wild Country,77,spotify,Spotify,795928
37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse,74,spotify,Spotify,589344
37i9dQZF1DWXi7h4mmmkzD,Country Nights,92,spotify,Spotify,504032
37i9dQZF1DXaiEFNvQPZrM,Country's Greatest Hits:  The '90s,135,spotify,Spotify,462633
37i9dQZF1DWSK8os4XIQBk,All About Country,70,spotify,Spotify,452611
37i9dQZF1DWWH0izG4erma,Country Rocks,67,spotify,Spotify,324660
37i9dQZF1DX9hWdQ46pHPo,Forever Country,78,spotify,Spotify,312926
37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s,163,spotify,Spotify,291386
37i9dQZF1DX49poIUZYXp7,Women of Country,84,spotify,Spotify,283451
37i9dQZF1DXdfhOsjRMISB,Country Drive,150,spotify,Spotify,250285
37i9dQZF1DWXepGEFFmQXJ,Fresh Country,60,spotify,Spotify,240991
37i9dQZF1DX0MuOvUqmxDz,Country Christmas,103,spotify,Spotify,233180
37i9dQZF1DXaJXCbmtHVHV,Big Country,41,spotify,Spotify,216702
37i9dQZF1DX7CGYgLhqwu5,Country's Greatest Hits:  The '60s,102,spotify,Spotify,214094
37i9dQZF1DWU2LcZVHsTdv,Country by the Grace of God,76,spotify,Spotify,208916
37i9dQZF1DXbIbVYph0Zr5,Country Cookout,95,spotify,Spotify,203549
37i9dQZF1DXdxUH6sNtcDe,Country's Greatest Hits:  The '00s,150,spotify,Spotify,185082
37i9dQZF1DWW7RgkOJG32Y,Breakout Country,71,spotify,Spotify,182697
37i9dQZF1DX13ZzXoot6Jc,Country Favourites,100,spotify,Spotify,178665
37i9dQZF1DWZQIRdXaBqdE,Classic Country Drive,100,spotify,Spotify,174450
37i9dQZF1DWYP5PUsVbso9,Country's Greatest Hits:  The '70's,96,spotify,Spotify,168165
37i9dQZF1DWWnpcjfCqaW0,Country's Greatest Hits:  The '50s,96,spotify,Spotify,152876
1f6kfopjy0uVYzKN9MUVMr,Country Hits Today and Yesterday,271,mareike009,mareike009,122839
3Iy6IrE5A54fi8Ngnsrk8Z,Old country classics and more,253,sambone2,21672901827,114114
37i9dQZF1DWZBCPUIUs2iR,Country Music 101:  Country's Greatest Hits,99,spotify,Spotify,100440
37i9dQZF1DWSCp8Clax7tf,Legendary Women of Country,90,spotify,Spotify,92973
0dZ6X4lEBOHBgQwRtg1cwP,New Country 2021,3319,126038170,Travis James,88295
3W8sIVX1FigsYLh4344d8R,90's Country (Top 100),201,tdkqms1h1k98zcv23ug77vcb1,a.j.matthews16,79266
37i9dQZF1DWYubIwLN4Hq2,Country Party,65,spotify,Spotify,78019
37i9dQZF1DXdmMcgFhLQ8u,Country Heartache,74,spotify,Spotify,75502
3rEkY4Z25FQ4x3NJ0pMxra,Country Party Songs ,244,1251776024,Ethan LeBlanc,68132
37i9dQZF1DX4bf0P6HTTom,Country Rock Classics,49,spotify,Spotify,66680
6wQFfOF4QYyoZhBGlhCWHZ,Today’s Country 2021,331,trosser6258,trosser6258,64878
37i9dQZF1DWXdiK4WAVRUW,Country's Greatest Hits:  The 2010's,179,spotify,Spotify,64042
37i9dQZF1DWYV2Gh2QglGo,Live Country,70,spotify,Spotify,57704
7fIdjWhWzPbf1g5OSDKOXw,TEXAS COUNTRY 🌵,474,1276364988,1276364988,53478
37i9dQZF1DWYvU2z6HruAo,Hot Country Presents:  Best Country Songs of 2020,62,spotify,Spotify,51997
6gXgPeZLfob30T6RSoy9nb,2000 Country Music,291,225maj3hqpdbqhxihtfoyphdy,Lexi Rangel,50492
37i9dQZF1DXamBAn43YNB9,Country Chill,60,spotify,Spotify,45515
37i9dQZF1DXamBAn43YNB9,Country Chill,60,spotify,Spotify,45515
3U25AXqlklo3o6LqM1wX1I,Country Music Playlist 2021 - Best Country Songs 2021,50,redmusiccompany,redmusiccompany,44423
1mJhSx6aYQmINsZ8dG4gzU,Best country songs (greatest hits),214,tebbey671,Kevin Damia,42889
7d85RPHimZb0gR4PlY3IKq,Top Country Hits of Today,320,seaon09,Reggie Regis,41095
13HYHjm9Tv5QWJIFSQlv7h,Country Classics,338,kristenpirie,kristenpirie,28861
1iMdFSK362wz1VmGqkYmrj,country playlist❤️,83,22u23umsp3bahaanhnddz4cyq,Makenna Addington,27320
37i9dQZF1DWTQrwBpetTXv,#SpotifyTBT: Women of Country,70,spotify,Spotify,26133
37i9dQZF1DXcYKwAtV4NDh,History of Country Music,107,spotify,Spotify,24870
37i9dQZF1DX5OrO2Jxuvdn,Country Workout,126,spotify,Spotify,24416
5LeYztyxSMJLwotoHVQbZi,Pop Country,197,zacharykillam,Phil Allen,23931
