playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWVCHIm2MEeIy,Electronic Circus,70,spotify,Spotify,628806
5Udnh472z0CeexGPSpdIw9,Dance Music 2021 | Deep House & Electronica,142,x43zjmj9fxfa65thdh3xeetli,Panther's Groove,502588
37i9dQZF1DX8AliSIsGeKd,Electronic Rising,68,spotify,Spotify,431284
5CvETxDs2E5rQeNji0LPaA,Electronica & Dance Music 2021,187,kpu7ttyvk94i360ju1ym63upj,Desired Music,279646
37i9dQZF1DX3XuTDjo5z5z,Electronic Concentration,79,spotify,Spotify,258408
37i9dQZF1DWYUYYlhkTuEn,Yoga Electronica,59,spotify,Spotify,125848
1U4hhbOslvsB9HPwXrBuws,Gaming Music 🎮 Electronic Music 2021 ,94,ntf4uj17uxr1edwz1jb1gjzm3,Adept Records,124776
6dTEYYCzvvOdHXUid1uXj2,Electronic Dance VIBES,35,xznbyii4eo2o8yitdbexd4yv0,VIBE Lifestyle,115775
37i9dQZF1DWZaNRXtvIrDt,Top Shelf Electronic,75,spotify,Spotify,112163
37i9dQZF1DX0wMD4IoQ5aJ,Electronic Focus,98,spotify,Spotify,99687
4c2ioMQMB99zWmshecKKYK,Musica Electronica 2021,95,12124472742,Fernando Barillas Gamas,92789
2wSNKxLM217jpZnkAgYZPH,"Anjunadeep New Releases (Deep House, Techno, Electronica)",66,anjunadeep,Anjunadeep,83714
2NAGzZNbDQHaOlXsb8Qsfr,Indietronica - Indie Electronica,125,enrouterecords,Enroute Rec,81064
37i9dQZF1DXb2oE8NhWxT6,Classical Meets Electronica,30,spotify,Spotify,75882
37i9dQZF1DX4Y1uAfxGdKJ,Electronic Running,78,spotify,Spotify,55672
0nHo7OoxCTeqeI5gOzUBTR,Pop & Electronic Workout 💪🎧,54,g8jvhh50frj5cpnp75sccuhzz,Ray William Jackson,39800
5krTavx8jTh19eDXBrK5Tk,Lets Dance to ELECTRONIC,50,sov9mdng435qrpeexg4347rcc,Wall lace,36670
0I41QKgHkF8TPUSiUtnL6n,Ambient Electronic,966,cotter,John Cotter,35738
3kqFZ645B1oXzTUojXt0Ps,Dope Electronic Beats,12,dji6mb0c5ec77fqngfcfrs9q4,Gold Cobra Promotion,35071
12uHWjT4W5DHJrY58XtdiO,"Electronica Éxitos 2021 - Dance 2021, Electronica 2021, Electronica para Fiestas, Bass Boosted 2021",463,auxlondon,Aux London,33535
2C20XxxwxjBXOiJRnDlvEF,Electronic music lights,50,lrhwkq1sovptcjnwqlodybdbq,Open tuned,33163
37i9dQZF1DX9WbnZpHWMaI,Women of Electronic,58,spotify,Spotify,32161
1hNZYgTx3gh6RPBVU8x7GJ,Electronic,43,4wdi11tctuv9fdgzzfja2ybg6,Wonderlist,31774
1AsVFc0487EvJwDqEIJHBa,Melodic Dubstep // Chillstep // Epic Electronic,975,122614182,Adam Morgan,30889
5jghjbtcaz89R81m088uV4,Electronica Vieja,223,drbono,drbono,27960
37i9dQZF1DX2zhLcnFr1qI,Electronic Christmas,37,spotify,Spotify,24986
57rLc4B0AUS2yKNwP9IMUr,Electronic Chill & Deep House,103,uoak,UOAK,24656
5GBJpEiKMiFy3cBPKR2TaH,Synthwave | Retro 80s Electronic,2812,12159337686,Patrick Spence,23216
37i9dQZF1DWX4UM2EREq2R,Best Electronic Songs of 2O2O,101,spotify,Spotify,20306
4sjsye4xyuVeYFQh0MJlMG,Electronic Chill,55,enhanced_music,Enhanced Music,19868
38NGYIE9cjJTD7kcSmEuHt,Electronic Dance Music,227,bsdh3zcy7u51uamx5358puoat,Fresh Finds,12959
0hLKYU2Wwv5WTu7XwnesPg, Electronic Gems,112,qnksfwkaonmy414y339ddk3zx,Ringo Jones,11963
3HNtiKCsaInBrRbYh3bjEV,electronica 2012 2013 2014 2015 ,48,22mrskkuxsm4haomvsez3iiiy,Juan Carlos Pico Mendoza,11710
7z1cdrQ822ONXQqgcW8yu7,Electronica Hits,77,31acarq2lkuttghvdi7tl6cia4pi,ElectroFans is Love,11329
2MSnrrA5JOGeXBLlm0z2kv,Electronic 2019 here,157,au5umzkarklxisuyrbu5jjrgg,Denver Electronic Music,11041
31rMvBIE8Fh86E231vaq1G,Electronica - Unlimited,106,uh6s2u2dpeats5ifpg9mc872g,TheChillSpot,8965
1hzFfwM27ZBhciazyGhAIu,Electronica 2010-2021,161,acamposa01,acamposa01,7351
37i9dQZF1DWXMLSZjxlOBA,Electronic FM,80,spotify,Spotify,7196
2d6sogVjwXrnxC0IAXFwcl,Downtempo Deep Electronica,465,joanna1892,Joanna Hengstebeck (jomadin),6889
1eoNr1jeF7u5JKS05ee4G0,Electronic 80s,58,polastice,polastice,6389
0v5f6hclSqTO2jtXG1L9NG,Electronic Jazz,287,emcmahon478,Eóin Mc Mahon,6028
61B7cHmaFlvuWcaVAAJoGk,Electronic Music 2020,99,zjmv9yony86phxxqd1n4ydaqu,Reverb Exclusives,5230
12207YXQxtmAYWtK2PVlOa,electronicas viejitas ,46,c.mauriciom,Mauricio Muñoz,4981
4z8qTyZWWVIaPlKSrAzgBc,Electronic Grooves,28,9v0o0dykne1goynehy18ku09k,Dr.J,4891
7rg9hm19AsS6ecb80tUPPX,Ambient Electronica,98,nikolaid82,Nik Davies,4639
0oXD7v9HUf2jFZXQfY2o4U,Chill & Electronic 2021,183,piecewiseofficial,piecewiseofficial,4632
1xEe9FBHrclcyNHXDRjUFr,Música de antro y electronica,136,7yvrxdic5vuhg4zbi0rs1wu68,Ruben Zapata,4265
221MnBauYWMHu9XgoMzhOQ,Always Electronic,31,hrwos9o6n4z2t956snmbtm0jw,Run It Up,4228
7q2eT3jWtDS3kmBera7nHL,Electronic Music Party,170,gmsxgtpuzm557sv2idgxligym,ELECTRIC LINE MX,3295
0900KiKGWQNWTAQveyAI95,GYM Electronic Motivation,157,argiss17,Alonso Vazquez,3029
3Y5s9H69q7tNLlzWwUubyJ,Electronic Tunes Only,15,nh5ul1oj9lb7rh2u53nhegeox,BigTunesUSAPro,2951
4QANcEzQUtPTmAujhvCuKC,Chill Electronic,200,deadratic,Deadratic,1868
6WoYrOCjbxO2fArUyJMBaC,MIX ELECTRONICS 2021,534,juanoloide,santalillo,1765
4UotOLlegyITk6ooj6afZK,Electronic Arab Indie,78,zw0h7zhnbkctfe78q81ezol20,Souq Records,1593
1NjDig59mY3NQw0jWfk77M,Electronic Booster,25,in1tiwiiboanire4qs8sulaqu,12332145,777
55kspyodYFU7of7OSdVbcq,Tecno/Electronica extasis,46,xavs2222,xavs2222,679
1QAQUj29rUJIykC9bjmuvu,Electronica,131,au5umzkarklxisuyrbu5jjrgg,Denver Electronic Music,645
2DlVkLRuP5realO2JEMToX,Exitós Electronica 2021 🚀 Electronicas,100,21ifzjxggdajdpc4w6iqxslkq,Soave,507
1L2p8xbmOhl9QwlVTH0Fd3,electronic ,100,daniela_3191,Daniela Nuñez Dodero,166
41lelSdMWMsRdnnGop6W3B,ELECTRONICA VIEJAS CLASICAS,69,1277552213,Genaro Mendoza,57
6cBp3hc5dz04RapV23qhIC,Electronica venezolana,11,qc7q2byg0v48qc97gmpk1skv1,Katty,52
1sNt7zMxxGKXbYiRKY5nw5,ELECTRONICA BRASILEIRAS,390,22g5xjnhsw67tlbjambj5udpq,Gil Silva,47
2JH2aBxftpRvsdrECff1tz,Electronic meditation,392,thaisa01,thaisa01,18
4cI5xcVr5UZvOYBbhGR4W8,ELECTRONIC PARTY,19,im2osxwm517fefujd2i8noqzk,FLY NETWORK,15
6u6UCmp5QfyGVFS0iibMJY,electronic avantgarde and synthpop,26,goppelxd,goppelxd,4
