playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWZQaaqNMbbXa,Dance Pop Hits,150,spotify,Spotify,196168
6dtY8MCZ4ExwDvsfs5EARz,Dance Pop Hits 2021 🕺💃,61,topsify,Topsify,86201
4SdfG4cPG3skmTiQLozZGh,Dance Pop Tunes ,105,sonymusicnl,Filtr Nederland,64588
6RAGRcbf29KQhJpP3eD8cu,Best Music For Gaming 2021 🎮 Future Bass & Dance Pop Hits ,98,magicmusicsquad,Magic Records,54152
37i9dQZF1DWWOGXILUAh53,Fresh Dance Pop,99,spotify,Spotify,50608
37i9dQZF1DXahYFr91pFvG,Dance Pop: Japan,60,spotify,Spotify,42206
37i9dQZF1DX6pH08wMhkaI,Dance Pop Hits,100,spotify,Spotify,34797
6MCEBH2C7xz8YAK1Z3o1kO,Dance Pop Hits & Chill Gaming,75,qx3ulry0s1bfbjjyzurkbzf68,SIZELAND,32605
69N5GrdsCrd9l7iqpcoLc7,Workout 2021 🔥 Exercise Music 🔥 Best Dance Music 🔥 Best Dance Pop 🔥 High Energy 🔥 Cardio 🔥,140,kpmvso2hddt008tdym03gycwi,HMG Workout,23361
4pgOnmTM39JfS4kGBhd2RG,Dance Pop Viral,30,a4awhs9pnhakydc1bop7700ml,Music Hits Italy,20810
1TZSikRQOg9a8rckQeRerD,Dance Pop 2021!,163,12149420357,12149420357,6749
2bl6rVKYoC4igzpzUKIuYo,Dance Pop Hits 2021 🔥,84,1nv6u01jz04gdpyeu05zf5uyd,Oxyd Music,5380
6OujgxtHlXcOw9EjPqS3kl,DANCE POP,100,8i1jv5e3xmrasr2e2k9z5ui7u,VERZAAP,2217
0dY2wIRIDhznH7mQnevcgG,Weekend Vibes + TGIF + New Music Friday + Mint + Dance Pop + PARTY + RUN + Pop Rising+ Happy Beats,545,amabel.soewondo,Amabel Soewondo,1173
5EDm7hkrWkkLMdVLNnznqg,Belly Dance Pop,40,1248041604,Erica Azad,895
44PolImasIMW3OOyLxcnle,Dance Pop & Happy Vibes :),59,4nh7nghhubxg081qmum0vmpie,Happy Hippo,814
3W2Vj0s1XLZHh5Cz1jDGTS,Dance Pop '90,39,21ccavqrh37bmu2mode4wyzdi,Timothy Walschaerts,654
0CHOrYMj3eN7vw2Z2UvZKz,dance pop,178,mattbeebe32,mattbeebe32,590
5v689Vdwv92REJKH2M5hPe,Dance Pop '80,35,21ccavqrh37bmu2mode4wyzdi,Timothy Walschaerts,551
530mXyog41njOqtlsuwK8b,Dance Pop Party,179,129732977,Sage Viscovi,437
3jtiMnQbEtI36muhCWV5Op,Dance Pop Revival 2020 - 2021,205,evansleekx,reginogeorge,390
1974cxTZjWP14p7mx864wt,"Dance Pop Party 2021 | Best Future Bass, Dance Pop and EDM",59,95n3c958mbr8zezx8f1fpplav,Boomaholic,387
0V29O48byYZxg6ws8vHBtA,Turquía dance pop,40,ruricowladimir,Wladimir Gutiérrez Sepúlveda,242
2XSck3Esa0qsfNq7fzHEtg,DANCE POP 2021 HOT 100🔥   Gym motivation,238,fz5p99nhs59tq2pqk8eo4qpeg,EMIIXAM (Max),231
5QKzx8SUEDXPCeXWUTtyeX,Dance Pop (Clean),187,5e03jbzv5haqzik85snzan9ql,Cheyenne,155
3WFtkW9Yx3JxKrsiH6lmEg,butter x synth/dance pop,36,embethscods,trivia:flower,16
37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz,140,spotify,Spotify,2282279
37i9dQZF1DXbITWG1ZJKYt,Jazz Classics,100,spotify,Spotify,1905763
37i9dQZF1DX4wta20PHgwo,Late Night Jazz,80,spotify,Spotify,1852668
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,350,spotify,Spotify,1775132
37i9dQZF1DWTbzY5gOVvKd,Jazzy Romance,60,spotify,Spotify,996283
37i9dQZF1DXa1rZf8gLhyz,Jazz for Sleep,106,spotify,Spotify,858393
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,771150
37i9dQZF1DX5OepaGriAIm,Women of Jazz,100,spotify,Spotify,766142
37i9dQZF1DXbOVU4mpMJjh,Jazz Relax,50,spotify,Spotify,628269
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,151,spotify,Spotify,542280
37i9dQZF1DX55dNU0PWnO5,Jazztronica,50,spotify,Spotify,489073
37i9dQZF1DX7YCknf2jT6s,State of Jazz,48,spotify,Spotify,474541
37i9dQZF1DX661EjJOj3Tu,Latin Jazz,100,spotify,Spotify,407626
37i9dQZF1DX5D4gDh3HAsM,Christmas Jazz,50,spotify,Spotify,404897
37i9dQZF1DWTALrdBtcXjw,Jazzy Dinner,58,spotify,Spotify,332065
37i9dQZF1DWTR4ZOXTfd9K,Jazz Classics Blue Note Edition,87,spotify,Spotify,315806
37i9dQZF1DX71VcjjnyaBQ,Good Morning Jazz,50,spotify,Spotify,267175
37i9dQZF1DX3SiCzCxMDOH,Jazz for Study,136,spotify,Spotify,252414
37i9dQZF1DWZv6UE8BMPO0,Christmas Cocktail Jazz,58,spotify,Spotify,237803
37i9dQZF1DX2mmt7R81K2b,Jazz – Classical Crossings,54,spotify,Spotify,227982
37i9dQZF1DXdwTUxmGKrdN,Smooth Jazz,50,spotify,Spotify,216022
37i9dQZF1DXbHcQpOiXk1D,Jazz UK,75,spotify,Spotify,192268
37i9dQZF1DWV7EzJMK2FUI,Jazz in the Background,125,spotify,Spotify,185938
37i9dQZF1DWTcEjayzrZ4x,Lazy Jazz Cat,159,spotify,Spotify,163719
37i9dQZF1DWSBRKlyNxSuy,Pure Mellow Jazz,50,spotify,Spotify,161243
45i3KQ4ENPoZNRYtReXBcU,The Jazz Hop Cafe,102,thejazzhopcafe,The Jazz Hop Café,153436
37i9dQZF1DWYxwmBaMqxsl,Rainy Day Jazz,83,spotify,Spotify,136292
37i9dQZF1DWU6MDxlH7Sr1,Cocktail Jazz,100,spotify,Spotify,124673
37i9dQZF1DWU5TxeYcalut,Jazz Brasileiro,90,spotify,Spotify,123193
148My4xA7WoEaNDmnl2A8Z,Smooth Jazz - Instrumental,1245,pmartika,Pekka Martikainen,120652
37i9dQZF1DWXSyfX6gqDNp,Evening Jazz,82,spotify,Spotify,113373
37i9dQZF1DX7UE7qrnkvsf,Jazz for Autumn,105,spotify,Spotify,107917
37i9dQZF1DWXHghfFFOaS6,Acid Jazz,90,spotify,Spotify,104795
37i9dQZF1DWZrhFFq3bnGV,Jazz Anak Negeri,101,spotify,Spotify,89426
37i9dQZF1DWTKxc7ZObqeH,Summer Jazz,130,spotify,Spotify,84668
37i9dQZF1DX5YTAi6JhwZm,Happy Jazz!,51,spotify,Spotify,72006
37i9dQZF1DX85XJl1mZAlp,Jazz X-Press,75,spotify,Spotify,69228
37i9dQZF1DWU0r6G8OGirN,Cozy Christmas Jazz,46,spotify,Spotify,68064
37i9dQZF1DXdziGPHNE40t,Jazzy Morning,80,spotify,Spotify,67674
37i9dQZF1DX1S1NduGwpsa,Jazz Club,50,spotify,Spotify,66892
5VItICXtFUzgoAmqy7QRFL,Jazz Piano,78,1210415129,Sam Suechting,66333
37i9dQZF1DWUb0uBnlJuTi,Jazz-Funk,55,spotify,Spotify,65246
2UPjWBRjJqMQY3LRV2aDTS,Starbucks Jazz,279,starbucks,Starbucks,56800
37i9dQZF1DX2kt7dB63bU1,Vocal Jazz,116,spotify,Spotify,54074
