track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
6zFMeegAMYQo0mt8rXtrli,HOLIDAY,93,154997,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,1,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
2V6pjeOCuPBVlatcWTXUtP,Coco (feat. DaBaby),82,142000,"['6fWVd57NKTalqvmjRd2t8Z', '4r63FhuTkUYltbVAg5TQnk']","['24kGoldn', 'DaBaby']",2,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,95,161384,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,1,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
4HMFQ406JW9C5qJwo0qnz9,Moonwalking in Calabasas Remix,68,170232,"['0WK3H9OErSn5zKOkOV5egm', '3Fl1V19tmjt57oBdxXKAjJ']","['DDG', 'Blueface']",2,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),98,140525,"['6fWVd57NKTalqvmjRd2t8Z', '6ASri4ePR7RlsvIQgWPJpS']","['24kGoldn', 'iann dior']",2,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
4jVBIpuOiMj1crqd8LoCrJ,FRANCHISE (feat. Young Thug & M.I.A.),82,202794,"['0Y5tJX1MQlPlqiwlOH1tJY', '50co4Is1HCEo8bhOyUWKpn', '0QJIPDAEDILuo8AIq3pMuU']","['Travis Scott', 'Young Thug', 'M.I.A.']",3,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),84,193838,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '3TVXtAsR1Inumwj472S9r4']","['21 Savage', 'Metro Boomin', 'Drake']",3,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
3qgPpwtuRu5oP8EtFSj8HE,SO DONE,84,126521,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,1,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
3McTpsUQfEDrlNd2ikro2E,All the Smoke (feat. Gunna & Wiz Khalifa),74,211237,"['1MXZ0hsGic96dWRDKwAwdr', '2hlmm7s2ICUX0LVIhVFlZQ', '137W8MRPWKqSmrBGDBFSop']","['Tyla Yaweh', 'Gunna', 'Wiz Khalifa']",3,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
02kDW379Yfd5PzW5A6vuGt,Lemonade,91,195428,"['6MPCFvOQv5cIGfw3jODMF0', '2hlmm7s2ICUX0LVIhVFlZQ', '4Gso3d4CscCijv0lmajZWs', '7rkW85dBwwrJtlHRDkJDAC']","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",4,5WNUX6jisX0NRlVDTm6RDd,HipHop 2021
