playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits,232,spotify,Spotify,4735038
37i9dQZF1DX50QitC6Oqtn,Love Pop,100,spotify,Spotify,3258215
37i9dQZF1DXcZDD7cfEKhW,Pop Remix,50,spotify,Spotify,3214947
37i9dQZF1DX6aTaZa0K6VA,Pop Up,80,spotify,Spotify,3008206
37i9dQZF1DX9tPFwDMOaN1,K-Pop Daebak,50,spotify,Spotify,2780993
37i9dQZF1DWVLcZxJO5zyf,Pop Brasil,60,spotify,Spotify,2138862
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,87,spotify,Spotify,2040838
37i9dQZF1DX3WvGXE8FqYX,Women of Pop,70,spotify,Spotify,2031978
37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses,50,spotify,Spotify,1811115
37i9dQZF1DX1QnNyJOBQBv,Latin Pop Hits,50,spotify,Spotify,1776696
37i9dQZF1DX0A8zVl7p82B,Christmas Pop,143,spotify,Spotify,1629743
37i9dQZF1DX6ThddIjWuGT,Latin Pop Classics,100,spotify,Spotify,1541431
37i9dQZF1DX4YhSbTs17ha,Sólo Pop,90,spotify,Spotify,1361693
37i9dQZF1DWWEcRhUVtL8n,Indie Pop,125,spotify,Spotify,1343874
37i9dQZF1DXbIGqYf7WDxP,Pop Chillout,95,spotify,Spotify,1262889
37i9dQZF1DWUaThf8nMdW6,Best of '00s Pop,50,spotify,Spotify,1184019
37i9dQZF1DX5gQonLbZD9s,Pumped Pop,60,spotify,Spotify,1117650
37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials,101,spotify,Spotify,950709
37i9dQZF1DX9ASuQophyb3,Türkçe Pop,50,spotify,Spotify,903178
37i9dQZF1DX92MLsP3K1fI,Top Pop,142,spotify,Spotify,842807
37i9dQZF1DWVlLVXKTOAYa,Pop Right Now,100,spotify,Spotify,832263
37i9dQZF1DX3sCT1ItXgNd,Pop con Ñ,60,spotify,Spotify,810737
