track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
22vgEDb5hykfaTwLuskFGD,Sucker,83,181026,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,77,188453,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
4yyX2Iu4xJjW9xMvBZKSBi,Met Him Last Night (feat. Ariana Grande),69,204631,"['6S2OmqARrzebs0tKUEyXyp', '66CXWjxzNUsdJxJ2JdwvnR']","['Demi Lovato', 'Ariana Grande']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,74,214226,2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5InWRmnfgjVwQWoXHNBATu,Want U Back,67,214013,4m4SfDVbF5wxrwEjDKgi4k,Cher Lloyd,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5xvUgoVED1F4mBu8FL0HaW,Ready or Not,73,200946,4VhL8KLjVso4vLfOLVViTb,Bridgit Mendler,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
41bqjWvbH0bkuaNqbHy54l,This Is Heaven,71,214623,4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),78,214480,"['1l8Fu6IkuTP0U5QetQJ5Xt', '7c0XG5cIJTrrAgEC3ULPiq']","['Fifth Harmony', 'Ty Dolla $ign']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
7EGhmltmWJHCHobd3g8Hnw,No Air (feat. Chris Brown),63,264373,"['2AQjGvtT0pFYfxR3neFcvz', '7bXgB6jMjp9ATFy66eO08Z']","['Jordin Sparks', 'Chris Brown']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
6f3Kn4QtwZPU2IvwwDSbLF,La Da Dee,31,196786,79Xp2rRN7wdsaTJgttdX3K,Cody Simpson,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1rW6UUZRQWW34j4zCQDkfX,Bang Bang,40,199373,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']","['Jessie J', 'Ariana Grande', 'Nicki Minaj']",3,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
3hc7PLcmuZbJGPjhIore1i,Too Little Too Late - 2018,66,223533,5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
60c0p6GGnuwdKcQnmuM2zC,I'll Always Remember You,68,233333,7nU4hB040gTmHm45YYMvqc,Hannah Montana,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0gJvqi9QyASOCtJu99tytc,Because of You,73,219493,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0ffe8dpo3PYoNUkOkYvezj,Still into You (feat. Chris French),55,232559,"['2ddxtfC0oS8LoktXUHE7YL', '3z8FRzy6MzD4kF51y1Jmwf']","['Ashley Tisdale', 'Chris French']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
3XHdk0KVdgO2sRH5dqibFB,Take A Hint,56,154733,"['1KYszkVzlhV3rAqmAcYIgd', '2OTfr6S2kuHRYStjt1IkY6', '0tnLXvm7c6ozq46x6qzgvL']","['Victorious Cast', 'Victoria Justice', 'Elizabeth Gillies']",3,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
11dxtPJKR4E0wlSr0A0t47,Potential Breakup Song,71,219773,5wugb0kaq0J6nyQ5Xgd17i,Aly & AJ,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
49oQf4PT5ONHU1qHvzfP1g,When There Was Me and You,22,180440,6G9bygHlCyPgNGxK2l3YdE,Vanessa Hudgens,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
6VrLYoQKdhu1Jruei06t65,Somebody To You,76,185097,7gAppWoH7pcYmphCVTXkzs,The Vamps,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),81,217306,"['4nDoRrQiYLoBzwC5BhVJzF', '50co4Is1HCEo8bhOyUWKpn']","['Camila Cabello', 'Young Thug']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
2TZ1apxMDlubCGMsOxcTbT,Come Clean,60,214560,2S9W9aSAd7e5mp8WqWxN2h,Hilary Duff,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,79,193400,6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
7m97u5zpSWqkDjN4uwY2LP,shut up,55,170363,0Qnx1MPnHYt3jJCYrRFVwX,Greyson Chance,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0YEsfwQpG7ofdIiHWA0dHi,All I Ever Need,68,213746,04abdnqPQe2N4fjztDea6z,Austin Mahone,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1rKBOL9kJfX1Y4C3QaOvRH,Boyfriend,66,201040,0GWCNkPi54upO9WLlwjAHd,Big Time Rush,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5yDL13y5giogKs2fSNf7sj,Glad You Came,75,197935,2NhdGz9EDv2FeUw6udu2g1,The Wanted,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,75,200466,6jTnHxhb6cDCaCu4rdvsQ0,Hot Chelle Rae,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
4jikjXjA4NYaOyWFVqnwEf,Leave It All To Me (Theme from iCarly) (feat. Drake Bell),25,158413,"['3SYGWAHCe31oykdeUPpoJp', '03ilIKH0i08IxmjKcn63ne']","['Miranda Cosgrove', 'Drake Bell']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,80,219146,6T5tfhQCknKG4UnH90qGnz,DNCE,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),79,173306,"['0ZED1XzwlLHW4ZaG4lOT6m', '1Hsdzj7Dlq2I7tHP7501T4']","['Julia Michaels', 'Niall Horan']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
079Ey5uxL04AKPQgVQwx5h,Baila Conmigo (with Rauw Alejandro),89,186087,"['0C8ZW7ezQVs4URX5aX7Kqx', '1mcTU81TzQhprhouKaTkpq']","['Selena Gomez', 'Rauw Alejandro']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
03B2SfXuvDh1m9F4tqrX07,Skin,79,177500,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1g1Jor1zrllXn2ogj8KGAH,"Strut - From ""The Cheetah Girls 2""",53,198360,4ntkql3f3ect7NDRUJ7aAY,The Cheetah Girls,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0BjfodYJYki5xbxHJZe0Cf,Big (feat. Gunna),62,156781,"['5CCwRZC6euC8Odo6y9X8jr', '1Cs0zKBU1kc0i8ypK3B9ai', '5rGrDvrLOV2VV8SCFVGWlj', '2hlmm7s2ICUX0LVIhVFlZQ']","['Rita Ora', 'David Guetta', 'Imanbek', 'Gunna']",4,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
3q3pZHncNkvIWJebMeuQqQ,Hero,62,196893,"['533HtQP5btWIZcKlHJtEWK', '0HsUBJ2C2wSkazmGH7cTvq']","['Christopher Wilde', 'Stubby']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1REX2q4Fverp8zH7KuSeZC,If I Die Young (Glee Cast Version),64,221773,0SCbttzoZTnLFebDYmAWCm,Glee Cast,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
7d1CFwrBmH34gmS0Hkbfbt,Replay,66,209186,6sCbFbEjbYepqswM1vWjjs,Zendaya,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
6YXG34IWbilypPwjBTOrUC,Can I Have This Dance - Original Version,67,243773,"['2gUMs9PE8XZVQyzCDqaYmW', '6G9bygHlCyPgNGxK2l3YdE', '6U1dBXJhC8gXFjamvFTmHg']","['High School Musical Cast', 'Vanessa Hudgens', 'Zac Efron']",3,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5mWY9PyOMDDJWUir7uKGHh,Let's Be Friends,52,180933,7rPQ2z1ji1ctJ6oGYBAo6M,Emily Osment,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
7wVHizRrYy5LCX7QfwsxNJ,I Won't Give Up,58,209880,0Cav8jyZKAHMFbAusOmjku,Christina Grimmie,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
76Tuo484SLohJakHLnGI3B,Sweet Melody,75,213693,3e7awlrlDSwF3iM0WBjGMp,Little Mix,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,74,230226,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
6IvOCyrwW7VuCjQFCD7h7r,Make You Believe,50,211666,4gWAItIMhYCdD82T8tvv3T,Lucy Hale,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,78,244506,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1gZ7i4qxXkHZb1r6eioaAP,Don't Cha,69,272080,"['6wPhSqRtPu1UhRCDX5yaDJ', '1YfEcTuGvBQ8xSD1f53UnK']","['The Pussycat Dolls', 'Busta Rhymes']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,83,199986,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
7pAq1IXYZpL42HchCminu6,Don't Hold Your Breath,60,197440,40xbWSB4JPdOkRyuTDy1oP,Nicole Scherzinger,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1KduF4t7FmMPKbu8U5GvsI,Treat Myself,54,162418,2OTfr6S2kuHRYStjt1IkY6,Victoria Justice,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,81,199693,6LqNN22kT3074XbTVUrhzX,Kesha,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5UY8jf31X2hJkiAualFTyh,Selfish,68,223270,2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
4wCD0qOFNRu1Q6O3N6ycm4,Crush,69,213520,2C9n4tQgNLhHPhSCmdsQnk,David Archuleta,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
29JrmE89KgRyCxBIzq2Ocw,Strip That Down (feat. Quavo),72,202061,"['5pUo3fmmHT8bhCyHE52hA6', '0VRj0yCOv2FXJNP47XQnx5']","['Liam Payne', 'Quavo']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),70,230733,6jJ0s89eD6GaHleKKya26X,Katy Perry,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1rIKgCH4H52lrvDcz50hS8,Lush Life,78,201122,1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
72Bz4ciRZPBcVSw0nrZDHi,Do It Again,75,207746,"['1BhWF9W2PngtPSyobKg0rP', '7bXgB6jMjp9ATFy66eO08Z', '5LHRHt1k9lMyONurDHEdrp']","['Pia Mia', 'Chris Brown', 'Tyga']",3,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",78,174800,"['5p7f24Rk5HkUZsaS3BLG5F', '4AVFqumd2ogHFlRbKIjp1t', '3b8QkneNDz4JHKKKlLgYZg', '4olE3I5QU0dvSR7LIpqTXc']","['Hailee Steinfeld', 'Alesso', 'Florida Georgia Line', 'watt']",4,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
2Oycxb8QbPkpHTo8ZrmG0B,Prisoner (feat. Dua Lipa),79,169333,"['5YGY8feqx7naU7z4HrwZM6', '6M2wZ9GZgrQXHCFfjv46we']","['Miley Cyrus', 'Dua Lipa']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
3KnjerEPMolLapVo2wdgz6,Rumors,55,196306,4vRSocKbGh7PsQrYRDVMEF,Lindsay Lohan,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
3V7DNqiaaLV9NwSAVSgzg3,Gotta Find You,27,241866,7gbmX8SsfjEjxDMzBi1ZOL,Joe Jonas,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
1Fx9aiORwv0cx5mFEBasHo,All About Tonight,60,186173,3EBRANWwnViQuBrImN61Z1,Pixie Lott,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
5WWOmIdScv25SOKm8yknqh,Let's Make This Last 4Ever,39,192173,3IcF2f5vEkY6HPQfLlQDlw,Mitchel Musso,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
3QmOiZF7IzJJkHnahh5Ea0,History,59,203992,188VINPQh5dyNfLUkevKqf,Olivia Holt,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
4QFbZ1cSkL718J6A8cMJdA,Jump To The Rhythm,42,227013,1JfkqBTXs6VC3JZ7RJNu7h,Jordan Pruitt,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
7JDWhC422Gtk1Bq0mL3OTC,feel something,77,180161,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
4urcG6Nfubqsuqy3juMjBi,Brokenhearted,65,227146,4M0DLz8te9Q1lNIXBBwvfG,Karmin,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0X5p2uVpPIbHIMzyH7ky3V,Not Your Birthday,46,205520,67tSTaaEena434STFKeMJJ,Allstar Weekend,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
26wLOs3ZuHJa2Ihhx6QIE6,Teeth,79,204887,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
0QVAlchLCx15ZLSoR9Wg1B,Higher,59,207613,15qI5w4XJFLRMwOp2VrlD5,The Saturdays,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
53xAT6jud1w0NqlBjSW4VB,What's My Name,67,190720,"['6SvFyXN6qzhw95Bj4HoevV', '4QS6MMKct3F3LkN7cr6vHg', '3kJ7YsRgaO8ggKD1lw4C2T']","['China Anne McClain', 'Thomas Doherty', 'Dylan Playfair']",3,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
51xUartdwQzXmtrwHyXRVp,On My Own,69,145413,4UxLFBvSr4xMDpHe1lrLrH,Ross Lynch,1,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
4XbQLaWyFkXTwPK33kxWQJ,I Was Made For Loving You,41,188939,"['1vSN1fsvrzpbttOYGsliDr', '6eUKZXaKkcviH0Ku9w2n3V']","['Tori Kelly', 'Ed Sheeran']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),79,225053,"['6JL8zeS1NmiOftqZTRgdTz', '5y2Xq6xcjJb2jVM54GHK3t']","['Meghan Trainor', 'John Legend']",2,10FCW9lj0NdeoYI5VVvVtY,The Sound of Post-Teen Pop
