track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
22vgEDb5hykfaTwLuskFGD,Sucker,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,1Uf67JAtkVWfdydzFFqNF2,181026,2019-06-07,83,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,22vgEDb5hykfaTwLuskFGD,22vgEDb5hykfaTwLuskFGD
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,49yHvRh1cOfLcEKukEP7Ox,188453,2011-01-01,77,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,0laYHRpNTS6i8FXdupHkJ4
4yyX2Iu4xJjW9xMvBZKSBi,Met Him Last Night (feat. Ariana Grande),6S2OmqARrzebs0tKUEyXyp,Demi Lovato,3XsdVkuj3zMVHPRvodOgeE,204631,2021-04-01,69,0.538,0.512,4,-4.548,0,0.0262,0.22,0.0,0.101,0.12,144.978,4yyX2Iu4xJjW9xMvBZKSBi,4yyX2Iu4xJjW9xMvBZKSBi
1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,2gidE8vgVOkYufANjuvj3S,214226,2004-01-01,74,0.66,0.666,9,-4.342,1,0.0472,0.0759,0.0,0.0268,0.933,89.975,1HwpWwa6bnqqRhK8agG4RS,1HwpWwa6bnqqRhK8agG4RS
5InWRmnfgjVwQWoXHNBATu,Want U Back,4m4SfDVbF5wxrwEjDKgi4k,Cher Lloyd,0z5qKyh9ys3kk9oLEzgG5l,214013,2011-11-07,67,0.696,0.893,9,-2.963,1,0.076,0.0662,0.0,0.473,0.573,97.954,5InWRmnfgjVwQWoXHNBATu,5InWRmnfgjVwQWoXHNBATu
5xvUgoVED1F4mBu8FL0HaW,Ready or Not,4VhL8KLjVso4vLfOLVViTb,Bridgit Mendler,114sumrk5wTeMWHVin86QC,200946,2012-01-01,73,0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,5xvUgoVED1F4mBu8FL0HaW,5xvUgoVED1F4mBu8FL0HaW
41bqjWvbH0bkuaNqbHy54l,This Is Heaven,4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,3FTjOu2zQLWcl1NVos4eAq,214623,2021-03-12,71,0.646,0.785,2,-4.801,0,0.0545,0.0377,0.0,0.0897,0.52,100.911,41bqjWvbH0bkuaNqbHy54l,41bqjWvbH0bkuaNqbHy54l
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,0pF0oyuPNdOObniB1Ng0kW,214480,2016-05-27,78,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,4tCtwWceOPWzenK2HAIJSb,4tCtwWceOPWzenK2HAIJSb
7EGhmltmWJHCHobd3g8Hnw,No Air (feat. Chris Brown),2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,3SR9XT8f7LEUDcMFZO4wPd,264373,2007-11-19,63,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033,7EGhmltmWJHCHobd3g8Hnw,7EGhmltmWJHCHobd3g8Hnw
6f3Kn4QtwZPU2IvwwDSbLF,La Da Dee,79Xp2rRN7wdsaTJgttdX3K,Cody Simpson,0Nt9OVNsmAcsEYXULP0ZBD,196786,2013-07-12,31,0.657,0.828,5,-5.544,1,0.0728,0.00847,0.0,0.326,0.566,115.954,6f3Kn4QtwZPU2IvwwDSbLF,6f3Kn4QtwZPU2IvwwDSbLF
1rW6UUZRQWW34j4zCQDkfX,Bang Bang,2gsggkzM5R49q6jpPvazou,Jessie J,40KAng7d1u6SP49rMI68m7,199373,2014-10-13,40,0.706,0.783,0,-3.441,0,0.1,0.315,0.0,0.373,0.739,150.045,1rW6UUZRQWW34j4zCQDkfX,1rW6UUZRQWW34j4zCQDkfX
3hc7PLcmuZbJGPjhIore1i,Too Little Too Late - 2018,5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,2U7Vdbcizw7WqeMAnNbX8P,223533,2018-12-20,66,0.394,0.821,6,-4.304,0,0.0404,0.00302,0.019,0.186,0.509,82.764,3hc7PLcmuZbJGPjhIore1i,3hc7PLcmuZbJGPjhIore1i
60c0p6GGnuwdKcQnmuM2zC,I'll Always Remember You,7nU4hB040gTmHm45YYMvqc,Hannah Montana,6FUFS9PRGUTyVrsltg1xji,233333,2010-01-01,68,0.418,0.721,8,-2.736,1,0.0383,0.0486,0.0,0.0984,0.233,144.063,60c0p6GGnuwdKcQnmuM2zC,60c0p6GGnuwdKcQnmuM2zC
0gJvqi9QyASOCtJu99tytc,Because of You,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,20jYcJane0oI7VoMNoEOJU,219493,2004,73,0.587,0.583,5,-5.284,0,0.0313,0.248,0.0,0.124,0.15,139.92,0gJvqi9QyASOCtJu99tytc,0gJvqi9QyASOCtJu99tytc
0ffe8dpo3PYoNUkOkYvezj,Still into You (feat. Chris French),2ddxtfC0oS8LoktXUHE7YL,Ashley Tisdale,1pKBsxAVkH1nr4vYvXEB8t,232559,2016-10-20,55,0.747,0.219,11,-11.664,1,0.0344,0.896,0.0,0.126,0.544,126.985,0ffe8dpo3PYoNUkOkYvezj,0ffe8dpo3PYoNUkOkYvezj
3XHdk0KVdgO2sRH5dqibFB,Take A Hint,1KYszkVzlhV3rAqmAcYIgd,Victorious Cast,4G83wuBUs0u5bDGN7EgoQr,154733,2012-09-14,56,0.73,0.858,3,-2.733,1,0.064,0.00468,0.0,0.0866,0.752,134.003,3XHdk0KVdgO2sRH5dqibFB,3XHdk0KVdgO2sRH5dqibFB
11dxtPJKR4E0wlSr0A0t47,Potential Breakup Song,5wugb0kaq0J6nyQ5Xgd17i,Aly & AJ,4TOOGDpJ9KQ8EM84TC4qj6,219773,2007-01-01,71,0.572,0.89,6,-4.139,0,0.039,0.00082,0.00937,0.564,0.765,158.038,11dxtPJKR4E0wlSr0A0t47,11dxtPJKR4E0wlSr0A0t47
