playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50,spotify,Spotify,13588683
37i9dQZF1DX76t638V6CA8,Rap Workout,59,spotify,Spotify,1263588
37i9dQZF1DWSIvbYYt1Dvi,RAPública,60,spotify,Spotify,993985
37i9dQZF1DX8Kgdykz6OKj,Jazz Rap,100,spotify,Spotify,771168
37i9dQZF1DX6PKX5dyBKeq,Rap UK,81,spotify,Spotify,718436
37i9dQZF1DWU4xkXueiKGW,Fresh Rap,52,spotify,Spotify,630903
4Ao85ZB0F474SYUelDH1Xi,Sad Rap,133,promotingsounds,Promoting Sounds,466147
37i9dQZF1DX0Na9FTYame5,Rap in deep,50,spotify,Spotify,443042
37i9dQZF1DXcd2Vmhfon1w,Rap Español,50,spotify,Spotify,363470
37i9dQZF1DWTgSTuHRv7LV,Mucho Rap,50,spotify,Spotify,357314
37i9dQZF1DWXfi2vTRVTna,This Is O Rappa,30,spotify,Spotify,345955
37i9dQZF1DWTf69iQOGkD2,Rap Acústico,80,spotify,Spotify,318020
37i9dQZF1DX5jNEiuvPyWr,Cloud Rap,50,spotify,Spotify,311657
37i9dQZF1DXawlg2SZawZf,Classiques du Rap US,61,spotify,Spotify,287806
37i9dQZF1DXdxFkXW4j8RX,Rap Chileno,100,spotify,Spotify,280819
2YLYJT19TUBMD4eDQEnivw,Workout Motivation / HipHop / Rap 2021,145,uptown_as,uptown_as,262990
37i9dQZF1DWSrqNVMcxGKc,Classiques du Rap Français,50,spotify,Spotify,252573
37i9dQZF1DXcEJw9C2rUbi,Rap oder Liebe,50,spotify,Spotify,251865
0MF1XGKzqqeL0ZHeqMrq7R,Rap Fr | Rap Francais 2021 | Hits Rap,64,digster.fr,Digster France,207748
5772HGqmp2E99GQo5tfmcJ, 90's Rap / HipHop,221,19jconnell79,19jconnell79,191860
37i9dQZF1DWUQru3jd69v5,Raptopia,47,spotify,Spotify,186061
37i9dQZF1DWXRPjCBAuFj3,Rap Internazionale,55,spotify,Spotify,174817
0mSf78pnq5xVU6kOtdv6dx,Chill Rap Playlist,176,promotingsounds,Promoting Sounds,167407
