track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
7o4gBbTM6UBLkOYPw9xMCz,Moonwalking in Calabasas (feat. Blueface) - Remix,84,170232,"['0WK3H9OErSn5zKOkOV5egm', '3Fl1V19tmjt57oBdxXKAjJ']","['DDG', 'Blueface']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,95,123428,7arQA31aZVS8yS6zUveWzb,CJ,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
26UxwWl9xCb83OynXELJcL,Masterpiece,74,181714,4r63FhuTkUYltbVAg5TQnk,DaBaby,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0k7wmahjkn389wAZdz19Cv,Drankin N Smokin,84,213520,"['1RyvyyTE3xzB2ZywiAwp0i', '4O15NlyKLIASxsJ0PrXPfz']","['Future', 'Lil Uzi Vert']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4DuUwzP4ALMqpquHU0ltAB,Tyler Herro,87,156497,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),89,190534,"['0eDvMgVFoNV3TpwtrVCoTj', '31W5EY0aAly4Qieq6OFu6I']","['Pop Smoke', 'A Boogie Wit da Hoodie']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4Iedi94TIaB2GGb1nMB68v,On Me,84,135959,5f7VJjfbwm532GiveGC0ZK,Lil Baby,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6bCWyr3C3ngZdwizTYWQTG,Onna Come Up (feat. G Herbo) [Remix],67,175729,"['0rpUnzu4JIoRkKkGvdcm7b', '5QdEbQJ3ylBnc3gsIASAT5']","['Lil Eazzyy', 'G Herbo']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5SWnsxjhdcEDc7LJjq9UHk,Runnin,86,195906,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp']","['21 Savage', 'Metro Boomin']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1SF8piqsZWn86DajVKih8F,Kacey Talk,81,151248,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6eVxH9Kyanzrw636zJRPcw,Errbody,82,210698,5f7VJjfbwm532GiveGC0ZK,Lil Baby,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
29TPjc8wxfz4XMn21O7VsZ,Sky,78,193234,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",90,195428,"['6MPCFvOQv5cIGfw3jODMF0', '2hlmm7s2ICUX0LVIhVFlZQ', '4Gso3d4CscCijv0lmajZWs', '7rkW85dBwwrJtlHRDkJDAC']","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",4,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4Z5FyQlevoHoa5FsIVKZju,PRACTICE,84,122586,4r63FhuTkUYltbVAg5TQnk,DaBaby,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4x3mum2YGHtIBrgUKiNt4F,Don't Need Friends (feat. Lil Baby),79,184619,"['7rkW85dBwwrJtlHRDkJDAC', '5f7VJjfbwm532GiveGC0ZK']","['NAV', 'Lil Baby']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
43BlKpJcSrC9AsJ3F1DKg9,Still Trappin' (with King Von),81,172185,"['3hcs9uc56yIGFCSy9leWe7', '6QtgPSJPSzcnn7dPZ4VINp']","['Lil Durk', 'King Von']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6aKDdFwPJLgHT4aNktrQmb,Take It To Trial (feat. Yak Gotti),77,170266,"['1xr2G8Hlx4QWmT9HaUbmoO', '50co4Is1HCEo8bhOyUWKpn', '2hlmm7s2ICUX0LVIhVFlZQ', '0dvFTsuG02c4cRbcSQ8zE6']","['Young Stoner Life', 'Young Thug', 'Gunna', 'Yak Gotti']",4,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),84,193838,"['1URnnhqYAYcrqrcwql10ft', '0iEtIxbK0KxaSlF7G42ZOp', '3TVXtAsR1Inumwj472S9r4']","['21 Savage', 'Metro Boomin', 'Drake']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3bAzFi7wGuOXJdgOYyFDSW,Losses,79,195648,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
