track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7o4gBbTM6UBLkOYPw9xMCz,Moonwalking in Calabasas (feat. Blueface) - Remix,0WK3H9OErSn5zKOkOV5egm,DDG,1z02WpEdAuImwfySk43owY,170232,2020-12-02,84,0.928,0.341,11,-10.196,0,0.103,0.0614,0.0,0.162,0.745,129.966,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,7arQA31aZVS8yS6zUveWzb,CJ,5oBYG6dEI2Er6EeLnmonGE,123428,2020-08-20,95,0.711,0.598,3,-7.621,0,0.182,0.19,0.0,0.15,0.737,140.175,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
26UxwWl9xCb83OynXELJcL,Masterpiece,4r63FhuTkUYltbVAg5TQnk,DaBaby,6kaYDcX9dNmJE5OU71IUby,181714,2021-01-15,74,0.781,0.726,0,-4.213,1,0.0836,0.0299,0.0,0.093,0.436,139.988,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0k7wmahjkn389wAZdz19Cv,Drankin N Smokin,1RyvyyTE3xzB2ZywiAwp0i,Future,48xpWR8K6CGpy3ETAym3pt,213520,2020-11-13,84,0.752,0.658,0,-6.297,1,0.342,0.0421,0.0,0.0927,0.387,151.951,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4DuUwzP4ALMqpquHU0ltAB,Tyler Herro,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,4Vd7lpztpJdmMt9hrLfXWe,156497,2020-10-22,87,0.794,0.756,5,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,2MDU46hcBn3u94s46BOSdv,190534,2020-07-20,89,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4Iedi94TIaB2GGb1nMB68v,On Me,5f7VJjfbwm532GiveGC0ZK,Lil Baby,25gJpQKgXxT5CrMitr0DQO,135959,2020-12-04,84,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6bCWyr3C3ngZdwizTYWQTG,Onna Come Up (feat. G Herbo) [Remix],0rpUnzu4JIoRkKkGvdcm7b,Lil Eazzyy,68E8KEIn6CawoxJetxyYRl,175729,2021-01-15,67,0.679,0.794,1,-3.985,1,0.296,0.339,1.65e-05,0.113,0.698,150.067,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
5SWnsxjhdcEDc7LJjq9UHk,Runnin,1URnnhqYAYcrqrcwql10ft,21 Savage,6wTyGUWGCilBFZ837k5aRi,195906,2020-10-02,86,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1SF8piqsZWn86DajVKih8F,Kacey Talk,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,6MbQdX6OomgQhZU6QCqMKW,151248,2020-09-11,81,0.877,0.607,10,-7.818,0,0.15,0.535,0.0,0.138,0.773,127.055,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6eVxH9Kyanzrw636zJRPcw,Errbody,5f7VJjfbwm532GiveGC0ZK,Lil Baby,1AhcXFOhxnWriMEslx0LC2,210698,2020-12-03,82,0.887,0.606,2,-6.572,1,0.324,0.000407,0.0,0.151,0.272,139.995,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
29TPjc8wxfz4XMn21O7VsZ,Sky,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,2QRedhP5RmKJiJ1i8VgDGR,193234,2020-12-25,78,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",6MPCFvOQv5cIGfw3jODMF0,Internet Money,2vGU0DOcfsDee0euvhl1iZ,195428,2020-08-28,90,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4Z5FyQlevoHoa5FsIVKZju,PRACTICE,4r63FhuTkUYltbVAg5TQnk,DaBaby,6SL49HqoUwu2hhfukBAK3Q,122586,2020-08-04,84,0.849,0.536,1,-7.307,1,0.349,0.0239,0.0,0.126,0.308,141.964,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4x3mum2YGHtIBrgUKiNt4F,Don't Need Friends (feat. Lil Baby),7rkW85dBwwrJtlHRDkJDAC,NAV,1tihFpzHHM9mDSoFbhMoZL,184619,2020-11-06,79,0.852,0.674,2,-4.166,1,0.211,0.0123,0.0,0.126,0.584,130.085,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
43BlKpJcSrC9AsJ3F1DKg9,Still Trappin' (with King Von),3hcs9uc56yIGFCSy9leWe7,Lil Durk,12TuxCWI6BzfSXaZMKMrPn,172185,2020-12-24,81,0.877,0.677,5,-4.969,0,0.356,0.0439,0.0,0.0986,0.627,144.941,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6aKDdFwPJLgHT4aNktrQmb,Take It To Trial (feat. Yak Gotti),1xr2G8Hlx4QWmT9HaUbmoO,Young Stoner Life,4YL3Pkal2a72eAzXCYoCay,170266,2020-12-18,77,0.891,0.552,1,-6.877,1,0.223,0.00225,2.18e-06,0.162,0.455,135.976,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4Q34FP1AT7GEl9oLgNtiWj,Mr. Right Now (feat. Drake),1URnnhqYAYcrqrcwql10ft,21 Savage,6wTyGUWGCilBFZ837k5aRi,193838,2020-10-02,84,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3bAzFi7wGuOXJdgOYyFDSW,Losses,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,7Lf0ye6btdu3rXvelpEC7u,195648,2020-10-30,79,0.848,0.457,0,-10.118,1,0.293,0.153,0.0,0.115,0.227,100.018,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1QOxaQ0QruusmKZk5G3sot,Moonlight (feat. Big Sean),0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,1Dp8DJTwLzqxscHc6nHrio,210057,2020-11-01,74,0.681,0.791,1,-6.292,0,0.131,0.62,1.97e-06,0.106,0.755,147.961,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1qPJqsojWPApzEuSVoFawJ,Rose Gold (feat. King Von),21WS9wngs9AqFckK7yYJPM,PnB Rock,2c0Ma4DaG94fdYU0JEwkki,192000,2021-01-19,0,0.574,0.623,0,-5.096,0,0.191,0.184,0.0,0.103,0.529,79.993,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,5hUFZjxtqYvxm9FGUhHCdE,157355,2021-01-15,83,0.697,0.674,1,-6.326,1,0.0533,0.00215,0.0,0.138,0.198,81.535,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
30KctD1WsHKTIYczXjip5a,Tequila Shots,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,64nbgEEIcY4g1ElVLONJ0w,193293,2020-12-11,85,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6jzW19SQaLj1kLArvipGQZ,Grey Area,17lzZA2AlOHwCwFALHttmp,2 Chainz,5RYrgGSMiYXGF8iwj2i1wF,171837,2020-11-13,75,0.897,0.767,11,-4.544,1,0.0959,0.0679,0.000364,0.129,0.675,134.913,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2Y3USTCETS4xbjJOzT1Icm,Adderall (Corvette Corvette) - Remix,3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,3CHhjAvREJII4YPk4qyDXq,176382,2020-12-18,81,0.921,0.718,4,-3.545,0,0.299,0.217,0.0,0.189,0.677,141.06,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
