track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
7LE1K0lZyRFZjSlrnm7lfD,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",84,382555,"['2cPqdH7XMvwaBJEVjheH8g', '7iK8PXO48WeuP03g8YR51W', '1mcTU81TzQhprhouKaTkpq', '2ydZrTy8U3kOMOzx20s3dg', '0EFisYRi20PTADoJrifHrz', '47MpMsUfWtgyIIBEFOr4FE', '1WMwuNKzEFtU6pPkdtryYS']","['Jay Wheeler', 'Myke Towers', 'Rauw Alejandro', 'DJ Nelson', 'Jhay Cortez', 'Lunay', 'Kendo Kaponi']",7,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
47EiUVwUp4C9fGccaPuUCS,DÁKITI,97,205090,"['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']","['Bad Bunny', 'Jhay Cortez']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7ndTONDDRFGiPnnhOzOXxq,La Nota,93,216107,"['0tmwSHipWxN12fsoLcFU3B', '1mcTU81TzQhprhouKaTkpq', '7iK8PXO48WeuP03g8YR51W']","['Manuel Turizo', 'Rauw Alejandro', 'Myke Towers']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,97,178946,790FomKkXshlbRYZFtlgla,KAROL G,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,93,186133,2NfSBtmWe7oPw1EmetJVso,Boza,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
70uX4beGHc1nQikXveOknp,Mala Costumbre,76,230728,"['0tmwSHipWxN12fsoLcFU3B', '1wZtkThiXbVNtj6hee6dz9']","['Manuel Turizo', 'Wisin & Yandel']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4C6BlqqMwjFzOXzqpTeoWR,Ponte Pa' Mi,86,202373,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5zj8WNkBrEzlI5FKeYV4ol,La Luz,87,216746,"['77ziqFxp5gaInVrF2lj4ht', '1vyhD5VmyZ7KMfW5gqLgo5']","['Sech', 'J Balvin']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1xK1Gg9SxG8fy2Ya373oqb,Bandido,91,232853,"['7iK8PXO48WeuP03g8YR51W', '2LmcxBak1alK1bf7d1beTr']","['Myke Towers', 'Juhn']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5y7DaS3jAc9eZzcSOoUIwU,Una Locura,91,230693,"['1i8SpTcr7yvPOmcqrbnVXY', '1vyhD5VmyZ7KMfW5gqLgo5', '37230BxxYs9ksS7OkZw3IU']","['Ozuna', 'J Balvin', 'Chencho Corleone']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
69Y5IZuBvGyzySFt5x7kCq,Más De La Una,85,236731,"['4bw2Am3p9ji3mYsXNXtQcd', '1r4hJ1h58CWwUQe3MxPuau']","['Piso 21', 'Maluma']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2k6bBYA3qx3UJh6PsOq8R4,Cuando Bebe,70,206750,"['7iK8PXO48WeuP03g8YR51W', '5RVuxgqu3esPo4LIrf4HUs', '3EiLUeyEcA6fbRPSHkG5kb', '1Ts9of7VPZElwPQnqnDSfW', '68RF5OHUlOjlXcBZ7pxZQk', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD']","['Myke Towers', 'Jay Menez', 'De La Ghetto', 'Lyanno', 'Kingz Daddy', 'Mambo Kingz', 'DJ Luian']",7,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,91,130013,4q3ewBCX7sLwd24euuV69X,Bad Bunny,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5Bc130ZswADfOY9bxk1y98,"A Mi También ft. Alvaro Diaz, Feid",73,171832,"['0GM7qgcRCORpGnfcN2tCiB', '5J7rXWjtn5HzUkJ4Jet8Fr', '2LRoIwlKmHjgvigdNGBHNo']","['Tainy', 'Alvaro Diaz', 'Feid']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2etJ67Egf7woMgOikVrlJM,Travesuras,82,204180,"['2oT7xd9iTO2ejLsNGIMa5f', '5hdhHgpxyniooUiQVaPxQ0', '1fux65HMCBvfJHqlBc4Nno']","['Flow La Movie', 'Nio Garcia', 'Casper Magico']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
68mrW6gXHgupgSiDHgaDi5,Polvo,88,211130,"['1SupJlEpv7RS2tPNRaHViT', '7iK8PXO48WeuP03g8YR51W']","['Nicky Jam', 'Myke Towers']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1dFvzd0wivuzxU2BLcEynb,No Me Acostumbro,76,242866,"['3E6xrwgnVfYCrCs0ePERDz', '1i8SpTcr7yvPOmcqrbnVXY', '0vR2qb8m9WHeZ5ByCbimq2', '0n6sKrG0xKAf8xmdqeNGke', '1pf0MPKfKdvS8J779mS1Ay']","['Wisin', 'Ozuna', 'Reik', 'Los Legendarios', 'Miky Woodz']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
13Tbv4nflNxg9kYBIbJnd9,Dile a El,75,209540,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
21N4Buj4xsyLb218lYle61,Chica Ideal,92,183240,"['07YUOmWljBTXwIseAUd9TW', '0BqURncJM5B1BBu7UM51eq']","['Sebastian Yatra', 'Guaynaa']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4voH58ec36tNhWNF5CAKEk,Lágrimas De Cocodrilo,66,183053,2IMZYfNi21MGqxopj9fWx8,Rels B,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3GtnId3Cm1Xa6joCj08nzW,Jeans,90,185840,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
15zGj634ctKvXflVumO5Qq,Desnudarte,79,262200,"['00XhexlJEXQstHimpZN910', '2cPqdH7XMvwaBJEVjheH8g']","['Brytiago', 'Jay Wheeler']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,96,203200,"['4q3ewBCX7sLwd24euuV69X', '7ltDVBr6mKbRvohxheJ9h1']","['Bad Bunny', 'ROSALÍA']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4uoR6qeWeuL4Qeu2qJzkuG,Hawái,90,200197,1r4hJ1h58CWwUQe3MxPuau,Maluma,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
14JTYSChGSj1ULTnpTC70Z,En Su Nota,62,167733,3E12tRURRvPfHz0hAMCFYc,Omar Courtz,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3kml9ZdpT7UYk1ugkjqOzt,Don Don,83,275893,"['4VMYDCV2IEDYJArk749S6m', '2R21vXR83lH98kGeO99Y66', '1WMwuNKzEFtU6pPkdtryYS']","['Daddy Yankee', 'Anuel AA', 'Kendo Kaponi']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
