playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DWXRqgorJj26U,Rock Classics,145,spotify,Spotify,8713321
37i9dQZF1DXcF6B6QPhFDv,Rock This,50,spotify,Spotify,4490497
37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems,150,spotify,Spotify,4091838
37i9dQZF1DWYN0zdqzbEwl,Rock en Español,60,spotify,Spotify,3825910
37i9dQZF1DX6xOPeSOGone,Soft Rock,100,spotify,Spotify,2801391
37i9dQZF1DX8FwnYE6PRvL,Rock Party,50,spotify,Spotify,1815204
37i9dQZF1DX1spT6G94GFC,80s Rock Anthems,80,spotify,Spotify,1726873
37i9dQZF1DX68H8ZujdnN7,’80s Hard Rock,104,spotify,Spotify,1530912
37i9dQZF1DX2sUQwD7tbmL,Feel-Good Indie Rock,200,spotify,Spotify,1375500
37i9dQZF1DWWRktbhJiuqL,Pure Rock & Roll,100,spotify,Spotify,1335925
37i9dQZF1DX49jUV2NfGku,Rock Solid,80,spotify,Spotify,1176221
37i9dQZF1DWWwzidNQX6jx,70s Rock Anthems,80,spotify,Spotify,1152781
37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials,101,spotify,Spotify,950715
37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials,101,spotify,Spotify,950715
37i9dQZF1DWZU5DGR2xCSH,Iconos del Rock Argentino,80,spotify,Spotify,920412
37i9dQZF1DXcmaoFmN75bi,Rock Forever,95,spotify,Spotify,918196
37i9dQZF1DWZYWNM3NfvzJ,Beast Mode Rock,100,spotify,Spotify,847620
37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,135,spotify,Spotify,743144
37i9dQZF1DX1te6miphixI,Radio Rock,50,spotify,Spotify,725026
20LKsiDZd4ALrlihncFcFa,90s Alternative Rock,92,myplay.com,Filtr US,714214
37i9dQZF1DWSDoVybeQisg,Psychedelic Rock,50,spotify,Spotify,705568
37i9dQZF1DWTlgzqHpWg4m,California Rock State,73,spotify,Spotify,693483
37i9dQZF1DX0rCrO4CFRfM,Acoustic Rock,50,spotify,Spotify,670789
37i9dQZF1DWUoqEG4WY6ce,Indie Rock Road Trip,89,spotify,Spotify,610066
37i9dQZF1DWWzBc3TOlaAV,60s Rock Anthems,101,spotify,Spotify,569345
37i9dQZF1DX4vth7idTQch,Rockhymnen,100,spotify,Spotify,545838
37i9dQZF1DWXs1L3AC0Xio,Rock Ballads,75,spotify,Spotify,529165
37i9dQZF1DX2S9rTKTX6JP,Rock Covers,100,spotify,Spotify,517378
37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,149,spotify,Spotify,497675
37i9dQZF1DXbMYUPb05hjJ,Garage Rock Revival,90,spotify,Spotify,476309
37i9dQZF1DWYDQ8wBxd7xt,Pinoy Classic Rock,62,spotify,Spotify,465738
37i9dQZF1DX2UXfvEIZvDK,Modern Chill Rock,50,spotify,Spotify,443697
37i9dQZF1DX0xLQsW8b5Zx,Rockabilly Mania,60,spotify,Spotify,442271
37i9dQZF1DX6hvx9KDaW4s,The Rock Workout,60,spotify,Spotify,441013
37i9dQZF1DX2aneNMeYHQ8,Rockin' Vibes,120,spotify,Spotify,420827
37i9dQZF1DWYNSm3Z3MxiM,Classic Rock Workout,65,spotify,Spotify,402028
37i9dQZF1DX23YPJntYMnh,Funk Rock,60,spotify,Spotify,393877
37i9dQZF1DWZjmJmeiazwd,Ultimate Rock Gaming,150,spotify,Spotify,387841
37i9dQZF1DX3RfxtU3KC3j,Türkçe Rock,50,spotify,Spotify,372573
37i9dQZF1DWY6vTWIdZ54A,Dirty Rock,135,spotify,Spotify,358023
37i9dQZF1DXdpVGstUksUC,Stoner Rock,150,spotify,Spotify,329939
37i9dQZF1DWYzpSJHStHHx,Surf Rock Sunshine,80,spotify,Spotify,329165
37i9dQZF1DWWH0izG4erma,Country Rocks,67,spotify,Spotify,324663
37i9dQZF1DWYMHB55fgZrY,Iconos del Rock Mexicano,200,spotify,Spotify,310280
37i9dQZF1DWZeuoGxfO4e2,Iconos del Rock Latinoamericano,100,spotify,Spotify,271521
37i9dQZF1DX99DRG9N39X3,10s Rock Anthems,50,spotify,Spotify,247833
37i9dQZF1DWZNFWEuVbQpD,The Rock Show,100,spotify,Spotify,235656
37i9dQZF1DX5d5pMk8ynO3,50 Himnos del Rock en Español,50,spotify,Spotify,234763
37i9dQZF1DWXZo3QlWdchi,Rock Acústico,75,spotify,Spotify,225540
37i9dQZF1DX9bvVeeesP1m,Anadolu Rock,50,spotify,Spotify,204197
37i9dQZF1DWT3pfwRgyQMA,Songs We Rocked Out To,64,spotify,Spotify,199788
37i9dQZF1DX7Ku6cgJPhh5,Rock Drive,100,spotify,Spotify,193680
37i9dQZF1DX7Z7kYpKKGTc,Rock Love Songs,50,spotify,Spotify,184220
7hihXEo683OGE9P04HZ1XE,Rocket League,68,playstation_music,PlayStation™️ Music,117648
