artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,30647606,"['dance pop', 'pop']",95
4IWBUUAFIplrNtaOHcJPRM,James Arthur,8048670,"['pop', 'post-teen pop', 'talent show', 'uk pop']",87
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,17876933,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",86
04gDigrS5kc9YWfZHwBETP,Maroon 5,30804160,"['pop', 'pop rock']",92
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,6766803,"['dance pop', 'pop', 'post-teen pop']",79
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,8869605,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",82
540vIaP2JwjQb9dm3aArA4,DJ Snake,7346903,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",84
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,32374146,"['canadian contemporary r&b', 'canadian pop', 'pop']",97
46GXASE9LHzyssNqKOInUu,Dawin,211755,['nyc pop'],58
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6199196,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']",83
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3237494,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",82
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,3532948,"['ohio hip hop', 'pop rap']",90
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,15787010,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",85
7gAppWoH7pcYmphCVTXkzs,The Vamps,4447433,"['boy band', 'dance pop', 'pop', 'post-teen pop']",77
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,14679667,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",85
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,62941105,"['dance pop', 'pop', 'post-teen pop']",97
02A3cEvlLLCbIMVDrK2GHV,Starley,135961,"['aussietronica', 'pop dance', 'tropical house']",64
2oX42qP5ineK3hrhBECLmj,Andy Grammer,940582,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",78
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,32857027,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",90
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4339845,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",82
0jKQrxK2zHqxyOAyIMrUQt,SUD,328970,"['opm', 'pinoy rock']",57
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,13085874,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",84
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3551936,"['dance pop', 'edm', 'electro house', 'pop dance', 'tropical house']",81
3e7awlrlDSwF3iM0WBjGMp,Little Mix,9094756,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",86
3iri9nBFs9e4wN7PLIetAw,gnash,1592443,"['alt z', 'electropop', 'indie cafe pop', 'pop', 'sad rap', 'social media pop']",74
31TPClRtHm23RisEBtV3X7,Justin Timberlake,10767427,"['dance pop', 'pop']",85
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,6397143,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",78
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,5653274,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",83
3TVXtAsR1Inumwj472S9r4,Drake,54757143,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",100
6Dd3NScHWwnW6obMFbl1BH,Daya,1240121,"['alt z', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",78
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,62648,[],48
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,2041730,"['opm', 'pinoy rock', 'tagalog rap']",65
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,310453,"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']",62
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,356694,"['electropop', 'indie poptimism', 'pop', 'pop rap', 'r&b', 'rap']",73
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1163796,"['dance pop', 'deep tropical house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",72
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1207243,['pop rap'],75
3wbCeEPAW6po7J46netxMT,Up Dharma Down,702759,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",59
0q4NrXqJnc367PieejuROJ,Vice,19201,['chicano rap'],53
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,80117573,"['pop', 'uk pop']",93
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,5826668,['opm'],73
3r3Rkuc4jmZHXgchgaXwnv,Suzi,8068,[],46
15NtJjjHRFybdNSMyM9smT,Nevada,13988,['eurodance'],52
7CajNmpbOovFoOoasH2HaY,Calvin Harris,21661940,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",89
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,12679950,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']",76
1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,485526,['opm'],52
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,8772632,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",83
0NGAZxHanS9e0iNHpR8f2W,Alok,10008166,"['electro house', 'pop nacional', 'slap house']",87
787bCXOIvGeBw0Bc4kEjhD,Luke Christopher,157519,"['indie pop rap', 'pop rap']",58
0DnjaQqb436AH1idffI6CQ,Yeng Constantino,1908507,['opm'],60
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,45718068,"['canadian pop', 'pop', 'post-teen pop']",99
1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1232818,['opm'],60
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1586392,"['hip hop', 'pop rap', 'portland hip hop', 'rap', 'underground hip hop']",78
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,1148054,"['dance pop', 'pop', 'pop rap']",78
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,1805646,"['danish pop', 'pop', 'scandipop']",78
05o1zW8b6PV6rEquXr74sB,State of Sound,41311,"['deep tropical house', 'swedish tropical house', 'tropical house']",50
5y2Xq6xcjJb2jVM54GHK3t,John Legend,5659774,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",84
5WUlDfRSoLAfcVSX1WnrxN,Sia,19710848,"['australian dance', 'australian pop', 'dance pop', 'pop']",91
4BNWanhw4AjSXjBm9L1Jzy,Juris,541509,['opm'],59
6T5tfhQCknKG4UnH90qGnz,DNCE,3723846,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",72
2kZThDGZcHl4klYYFk0v8n,Moonstar88,655070,"['opm', 'pinoy rock', 'pop rock']",56
4dpARuHxo51G3z768sgnrY,Adele,27210451,"['british soul', 'pop', 'pop soul', 'uk pop']",86
4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,14731,['opm'],42
0bdfiayQAKewqEvaU6rXCv,MØ,1328598,"['art pop', 'dance pop', 'danish pop', 'electropop', 'indie poptimism', 'pop', 'tropical house']",76
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,10398564,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",81
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,2726718,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",85
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,30148388,"['permanent wave', 'pop']",91
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,28588781,['electro house'],86
5M0lbkGluOPXLeFjApw8r8,Shelley FKA DRAM,804940,"['alternative r&b', 'pop rap', 'r&b', 'rap', 'trap', 'underground hip hop', 'virginia hip hop']",69
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,20341453,"['modern rock', 'rock']",89
6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,2595041,['opm'],63
2tQbSWgZLIB8MXMnsXVRro,Nina,483745,"['dance pop', 'opm']",61
2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,131140,['opm'],56
5elcNQkZ6FCZA3grSOMngY,MYMP,695730,['opm'],65
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,751701,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']",71
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,867061,"['new french touch', 'tropical house']",73
6ZgBJRjJsK1iOJGKGZxEUv,South Border,682267,['opm'],60
24fEOzlKhgSNLIcy9NdmwH,James Reid,288513,"['deep neofolk', 'opm', 'pinoy r&b', 'tagalog rap']",56
3nZa8vRD64ueq3d0JNYTsl,6cyclemind,697713,"['opm', 'pinoy rock', 'tagalog rap']",58
